precinct_code,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-D,,,,,,
PM,294.0,152.0,446.0,0.0,80.0,526.0
RV-A,334.0,245.0,579.0,0.0,88.0,667.0
RV-B,252.0,225.0,477.0,0.0,83.0,560.0
RV-C,353.0,241.0,594.0,0.0,114.0,708.0
RV-D,337.0,273.0,610.0,0.0,118.0,728.0
RV-E,264.0,270.0,534.0,0.0,85.0,619.0
RV-F,307.0,200.0,507.0,0.0,94.0,601.0
RV-G,243.0,199.0,442.0,0.0,94.0,536.0
RV-H,184.0,117.0,301.0,0.0,59.0,360.0
RV-I,237.0,196.0,433.0,0.0,93.0,526.0
RV-J,248.0,175.0,423.0,0.0,89.0,512.0
RV-K,335.0,239.0,574.0,0.0,116.0,690.0
RV-L,206.0,144.0,350.0,0.0,70.0,420.0
RV-M,397.0,238.0,635.0,0.0,79.0,714.0
RV-N,242.0,192.0,434.0,0.0,88.0,522.0
RV-O,361.0,245.0,606.0,0.0,110.0,716.0
RV-P,381.0,275.0,656.0,1.0,99.0,756.0
