precinct_code,VOTE FOR 1
BRK-A,384
BRK-B,318
BRK-C,397
BRK-D,357
BTLTWP-A,363
BTLTWP-B,311
BTLTWP-C,399
BTLTWP-D,358
BTLTWP-E,272
BTLTWP-F,311
BTLTWP-G,198
CLATWP-A,267
CLATWP-B,253
CLATWP-C,367
CTN 1-A,264
CTN 1-B,292
CTN 1-C,324
CTN 1-D,205
CTN 2-A,222
CTN 2-B,309
CTN 2-C,295
CTN 3-A,291
CTN 3-B,274
CTN 3-C,270
CV-A,220
CV-B,361
CV-C,219
CV-D,242
CV-E,343
CV-F,380
CV-G,358
CV-H,423
CV-I,489
CV-J,402
CV-K,377
CV-L,445
CV-M,326
CV-N,320
CV-O,433
CV-P,355
CV-Q,332
CV-R,331
DAY 1-A,48
DAY 1-B,194
DAY 1-C,141
DAY 1-D,86
DAY 1-E,131
DAY 2-A,177
DAY 2-B,140
DAY 2-C,196
DAY 2-D,140
DAY 3-A,87
DAY 3-B,124
DAY 3-C,358
DAY 3-D,165
DAY 3-E,101
DAY 3-F,220
DAY 3-G,191
DAY 3-H,174
DAY 3-I,301
DAY 3-J,230
DAY 3-K,323
DAY 3-L,313
DAY 4-A,148
DAY 4-B,99
DAY 4-C,113
DAY 5-A,81
DAY 5-B,95
DAY 5-C,70
DAY 5-D,115
DAY 6-A,100
DAY 6-B,127
DAY 6-C,79
DAY 7-A,79
DAY 7-B,53
DAY 8-A,255
DAY 8-B,229
DAY 8-C,222
DAY 8-D,189
DAY 9-A,297
DAY 9-B,228
DAY 9-C,291
DAY 9-D,233
DAY 10-A,199
DAY 10-B,164
DAY 10-C,155
DAY 10-D,193
DAY 10-E,167
DAY 11-A,137
DAY 11-B,157
DAY 11-C,149
DAY 11-D,218
DAY 11-E,162
DAY 12-A,225
DAY 12-B,89
DAY 12-C,189
DAY 12-D,142
DAY 13-A,82
DAY 13-B,78
DAY 14-A,144
DAY 14-B,52
DAY 14-C,59
DAY 14-D,134
DAY 15-A,118
DAY 15-B,118
DAY 15-C,94
DAY 15-D,101
DAY 16-A,100
DAY 16-B,71
DAY 16-C,108
DAY 16-D,172
DAY 16-E,89
DAY 17-A,84
DAY 17-B,148
DAY 17-C,120
DAY 17-D,93
DAY 18-A,90
DAY 18-B,157
DAY 18-C,105
DAY 18-D,110
DAY 19-A,45
DAY 19-B,155
DAY 19-C,84
DAY 20-A,319
DAY 20-B,277
DAY 20-C,210
DAY 20-D,221
DAY 21-A,95
DAY 21-B,88
DAY 21-C,128
DAY 22-A,167
DAY 22-B,110
DAY 22-C,190
DAY 23-A,132
ENG-A,309
ENG-B,313
ENG-C,265
ENG-D,382
ENG-E,306
ENG-F,286
ENG-G,307
ENG-H,242
ENG-I,214
ENG-J,282
FARM,229
GERTWP-A,433
GERTWP-B,393
GTN-A,299
GTN-B,299
GTN-C,331
GTN-D,328
HARTWP-A,184
HARTWP-B,211
HARTWP-C,213
HARTWP-D,252
HARTWP-E,140
HARTWP-F,66
HARTWP-G,151
HARTWP-H,152
HARTWP-I,160
HARTWP-J,112
HARTWP-K,145
HARTWP-L,226
HARTWP-M,228
HARTWP-N,198
HARTWP-O,211
HUB 1-A,288
HUB 1-B,410
HUB 1-C,235
HUB 1-D,358
HUB 2-A,329
HUB 2-B,356
HUB 3-A,250
HUB 3-B,190
HUB 3-C,220
HUB 3-D,369
HUB 3-E,197
HUB 4-A,331
HUB 4-B,285
HUB 4-C,344
HUB 4-D,292
HUB 5-A,319
HUB 5-B,262
HUB 5-C,302
HUB 5-D,282
HUB 6-A,246
HUB 6-B,346
HUB 6-C,307
HUB 6-D,308
JAKTWP-A,387
JAKTWP-B,259
JEFTWP-A,322
JEFTWP-B,158
JEFTWP-C,258
JEFTWP-D,168
JNLB-A,183
JNLB-B,288
KT 1-A,237
KT 1-B,239
KT 1-C,344
KT 1-D,310
KT 1-E,259
KT 1-F,257
KT 1-G,274
KT 1-H,329
KT 1-I,304
KT 2-A,291
KT 2-B,313
KT 2-C,308
KT 2-D,341
KT 2-E,329
KT 2-F,257
KT 2-G,396
KT 2-H,343
KT 2-I,254
KT 2-J,208
KT 3-A,313
KT 3-B,289
KT 3-C,331
KT 3-D,233
KT 3-E,337
KT 3-F,268
KT 3-G,269
KT 3-H,302
KT 3-I,269
KT 3-J,280
KT 3-K,372
KT 4-A,345
KT 4-B,284
KT 4-C,220
KT 4-D,280
KT 4-E,249
KT 4-F,271
KT 4-G,410
KT 4-H,264
KT 4-I,275
KT 4-J,271
KT 4-K,281
MBG 1-A,320
MBG 1-B,351
MBG 1-C,315
MBG 2-A,235
MBG 2-B,332
MBG 2-C,360
MBG 3-A,251
MBG 3-B,312
MBG 3-C,238
MBG 3-D,357
MBG 4-A,318
MBG 4-B,289
MBG 4-C,241
MBG 4-D,447
MIATWP-A,297
MIATWP-B,256
MIATWP-C,322
MIATWP-D,252
MIATWP-E,431
MIATWP-F,315
MIATWP-G,235
MIATWP-H,269
MIATWP-I,159
MIATWP-J,281
MIATWP-K,378
MIATWP-L,244
MIATWP-M,275
MIATWP-N,333
MIATWP-O,276
MIATWP-P,193
MIATWP-Q,263
MIATWP-R,170
MIATWP-S,269
MIATWP-T,226
MIATWP-U,217
MIATWP-V,281
MOR 1-A,161
MOR 2-A,320
MOR 3-A,191
MOR 4-A,180
MOR 4-B,119
OAK-A,304
OAK-B,324
OAK-C,221
OAK-D,235
OAK-E,232
OAK-F,309
OAK-G,311
OAK-H,243
PERTWP-A,286
PERTWP-B,268
PERTWP-C,345
PHBG,89
PM,190
PNLB,219
RV-A,257
RV-B,198
RV-C,239
RV-D,273
RV-E,260
RV-F,235
RV-G,209
RV-H,138
RV-I,197
RV-J,199
RV-K,279
RV-L,154
RV-M,313
RV-N,187
RV-O,291
RV-P,305
TR 1-A,250
TR 1-B,118
TR 1-C,118
TR 1-D,119
TR 1-E,167
TR 2-A,151
TR 2-B,194
TR 2-C,134
TR 2-D,130
TR 2-E,95
TR 3-A,151
TR 3-B,245
TR 3-C,150
TR 3-D,186
TR 4-A,170
TR 4-B,145
TR 4-C,127
TR 4-D,112
UN-A,211
UN-B,251
UN-C,313
UN-D,334
UN-E,329
VD-A,264
VD-B,184
VD-C,316
VD-D,311
VD-E,228
VD-F,337
VD-G,213
VD-H,395
VD-I,313
VD-J,383
VD-K,368
WASTWP-A,320
WASTWP-B,421
WASTWP-C,347
WASTWP-D,285
WASTWP-E,377
WASTWP-F,236
WASTWP-G,373
WASTWP-H,322
WASTWP-I,265
WASTWP-J,286
WASTWP-K,314
WASTWP-L,225
WASTWP-M,374
WASTWP-N,297
WASTWP-O,363
WASTWP-P,402
WASTWP-Q,394
WASTWP-R,296
WASTWP-S,301
WASTWP-T,240
WASTWP-U,363
WASTWP-V,312
WASTWP-W,202
WASTWP-X,313
WASTWP-Y,433
WASTWP-Z,319
WASTWP-AA,316
WASTWP-BB,208
WASTWP-CC,400
WCR-A,269
WCR-B,297
WCR-C,310
WCR-D,296
WCR-E,156
WCR-F,206
WCR-G,260
WCR-H,315
WCR-I,178
