precinct_code,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total,For the Issue Bond,Bond Against Issue the
KT 1-E,,,146.0,0.0,14.0,160.0,56.0,90.0
PM,305.0,108.0,,,,,,
RV-A,368.0,179.0,,,,,,
RV-B,277.0,170.0,,,,,,
RV-C,368.0,190.0,,,,,,
RV-D,382.0,191.0,660.0,0.0,68.0,728.0,295.0,365.0
RV-E,284.0,221.0,,,,,,
RV-F,333.0,151.0,,,,,,
RV-G,243.0,165.0,,,,,,
RV-H,203.0,87.0,,,,,,
RV-I,249.0,155.0,,,,,,
RV-J,265.0,133.0,,,,,,
RV-K,385.0,161.0,,,,,,
RV-L,215.0,114.0,,,,,,
RV-M,434.0,183.0,,,,,,
RV-N,261.0,144.0,,,,,,
RV-O,386.0,186.0,,,,,,
RV-P,401.0,225.0,,,,,,
