precinct_code,For the Levy Tax,Against Tax Levy the,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-G,,,,,,
DAY 14-A,9.0,3.0,12.0,0.0,0.0,12.0
DAY 14-C,0.0,2.0,2.0,0.0,0.0,2.0
DAY 16-C,,,,,,
DAY 18-B,,,,,,
HARTWP-A,,,,,,
HARTWP-B,,,,,,
HARTWP-C,,,,,,
HARTWP-D,,,,,,
HARTWP-E,,,,,,
HARTWP-F,,,,,,
HARTWP-G,,,,,,
HARTWP-H,,,,,,
HARTWP-I,,,,,,
HARTWP-J,,,,,,
HARTWP-K,,,,,,
HARTWP-L,,,,,,
HARTWP-M,,,,,,
HARTWP-N,,,,,,
HARTWP-O,,,,,,
JEFTWP-A,243.0,651.0,894.0,0.0,44.0,938.0
JEFTWP-B,290.0,231.0,521.0,0.0,30.0,551.0
JEFTWP-C,141.0,533.0,674.0,0.0,18.0,692.0
JEFTWP-D,414.0,239.0,653.0,0.0,28.0,681.0
