precinct_code,Jackson Angelina,Total Votes Cast,Overvotes,Undervotes,Contest Total,Jennifer Petrella A.
BRK-A,458,446,0,477,923,446
BRK-B,330,341,0,358,699,341
BRK-C,401,416,0,495,911,416
BRK-D,362,374,0,410,784,374
BTLTWP-A,398,422,0,407,829,422
BTLTWP-B,319,325,0,402,727,325
BTLTWP-C,469,475,0,450,925,475
BTLTWP-D,431,416,0,445,861,416
BTLTWP-E,310,322,0,275,597,322
BTLTWP-F,310,324,0,363,687,324
BTLTWP-G,267,274,0,247,521,274
CLATWP-A,265,270,0,327,597,270
CLATWP-B,258,301,0,319,620,301
CLATWP-C,373,398,0,533,931,398
CTN 1-A,263,282,0,326,608,282
CTN 1-B,390,343,0,350,693,343
CTN 1-C,467,428,0,513,941,428
CTN 1-D,346,283,0,316,599,283
CTN 2-A,316,297,0,358,655,297
CTN 2-B,483,419,0,439,858,419
CTN 2-C,511,414,0,483,897,414
CTN 3-A,455,390,0,473,863,390
CTN 3-B,426,383,0,445,828,383
CTN 3-C,411,352,0,386,738,352
CV-A,357,347,0,291,638,347
CV-B,430,418,0,463,881,418
CV-C,261,260,0,305,565,260
CV-D,324,311,0,338,649,311
CV-E,382,353,0,466,819,353
CV-F,442,448,0,488,936,448
CV-G,504,485,0,520,"1,005",485
CV-H,485,476,0,533,"1,009",476
CV-I,505,562,0,529,"1,091",562
CV-J,436,481,0,434,915,481
CV-K,444,427,0,516,943,427
CV-L,499,537,0,495,"1,032",537
CV-M,415,416,0,447,863,416
CV-N,396,371,0,411,782,371
CV-O,533,556,0,550,"1,106",556
CV-P,475,453,0,511,964,453
CV-Q,406,392,0,489,881,392
CV-R,413,405,0,476,881,405
DAY 1-A,93,83,0,130,213,83
DAY 1-B,417,336,0,403,739,336
DAY 1-C,285,239,0,283,522,239
DAY 1-D,167,127,0,206,333,127
DAY 1-E,326,248,0,393,641,248
DAY 2-A,207,198,0,245,443,198
DAY 2-B,265,223,0,288,511,223
DAY 2-C,256,241,0,298,539,241
DAY 2-D,174,169,0,221,390,169
DAY 3-A,108,111,0,160,271,111
DAY 3-B,165,164,0,224,388,164
DAY 3-C,478,451,0,450,901,451
DAY 3-D,238,208,0,291,499,208
DAY 3-E,152,135,0,142,277,135
DAY 3-F,346,312,0,417,729,312
DAY 3-G,223,226,0,258,484,226
DAY 3-H,212,213,0,286,499,213
DAY 3-I,441,379,0,467,846,379
DAY 3-J,337,323,0,396,719,323
DAY 3-K,460,417,0,477,894,417
DAY 3-L,395,392,0,427,819,392
DAY 4-A,292,227,0,286,513,227
DAY 4-B,207,167,0,231,398,167
DAY 4-C,225,184,0,245,429,184
DAY 5-A,198,153,0,214,367,153
DAY 5-B,218,165,0,220,385,165
DAY 5-C,168,123,0,198,321,123
DAY 5-D,264,179,0,264,443,179
DAY 6-A,255,167,0,279,446,167
DAY 6-B,264,190,0,244,434,190
DAY 6-C,229,138,0,250,388,138
DAY 7-A,204,135,0,245,380,135
DAY 7-B,195,135,0,164,299,135
DAY 8-A,336,313,0,391,704,313
DAY 8-B,338,315,0,362,677,315
DAY 8-C,327,299,0,393,692,299
DAY 8-D,335,300,0,376,676,300
DAY 9-A,448,386,0,472,858,386
DAY 9-B,383,349,0,447,796,349
DAY 9-C,403,387,0,479,866,387
DAY 9-D,304,278,0,392,670,278
DAY 10-A,280,254,0,337,591,254
DAY 10-B,217,207,0,297,504,207
DAY 10-C,236,210,0,270,480,210
DAY 10-D,286,272,0,343,615,272
DAY 10-E,232,214,0,319,533,214
DAY 11-A,175,170,0,212,382,170
DAY 11-B,196,204,0,227,431,204
DAY 11-C,238,212,0,221,433,212
DAY 11-D,283,275,0,319,594,275
DAY 11-E,213,212,0,253,465,212
DAY 12-A,352,317,0,374,691,317
DAY 12-B,200,155,0,303,458,155
DAY 12-C,289,288,0,243,531,288
DAY 12-D,176,171,0,234,405,171
DAY 13-A,238,150,0,276,426,150
DAY 13-B,149,127,0,140,267,127
DAY 14-A,313,210,0,304,514,210
DAY 14-B,123,88,0,117,205,88
