precinct_code,For the Levy Tax,Against Tax Levy the,Total Votes Cast,Overvotes,Undervotes,Contest Total,For the Tax,Against Tax the
DAY 2-C,0,0,,,,,,
DAY 2-D,0,1,,,,,,
DAY 3-C,107,89,,,,,,
DAY 3-J,28,16,,,,,,
DAY 3-K,406,337,,,,,,
DAY 11-C,14,9,,,,,,
HUB 5-B,0,1,,,,,,
JAKTWP-A,,,528,0,19,547,205,323
JEFTWP-A,,,80,0,2,82,24,56
JNLB-A,,,455,0,24,479,196,259
JNLB-B,,,716,0,32,748,313,403
PERTWP-A,,,89,0,4,93,40,49
PERTWP-B,,,55,0,5,60,21,34
PERTWP-C,,,745,1,22,768,306,439
PM,283,191,,,,,,
PNLB,,,511,0,20,531,230,281
RV-A,298,328,,,,,,
RV-B,181,288,,,,,,
RV-C,343,298,,,,,,
RV-E,222,326,,,,,,
RV-F,284,268,,,,,,
RV-G,214,279,,,,,,
RV-H,181,137,,,,,,
RV-I,225,263,,,,,,
RV-J,196,275,,,,,,
RV-L,46,39,,,,,,
RV-M,323,342,,,,,,
RV-N,214,247,,,,,,
RV-P,343,372,,,,,,
TR 3-B,,,142,0,6,148,62,80
