precinct_code,Tim O'Connell,Total Votes Cast,Overvotes,Undervotes,Contest Total,Kim Melnick
BRK-A,490,456,0,467,923,456
BRK-B,368,336,0,363,699,336
BRK-C,445,432,0,479,911,432
BRK-D,387,381,0,403,784,381
BTLTWP-A,418,422,0,407,829,422
BTLTWP-B,364,343,0,384,727,343
BTLTWP-C,492,483,0,442,925,483
BTLTWP-D,452,427,0,434,861,427
BTLTWP-E,323,319,0,278,597,319
BTLTWP-F,334,331,0,356,687,331
BTLTWP-G,289,273,0,248,521,273
CLATWP-A,295,275,0,322,597,275
CLATWP-B,294,298,0,322,620,298
CLATWP-C,420,405,0,526,931,405
CTN 1-A,296,287,0,321,608,287
CTN 1-B,390,348,0,345,693,348
CTN 1-C,491,418,0,523,941,418
CTN 1-D,355,287,0,312,599,287
CTN 2-A,332,302,0,353,655,302
CTN 2-B,502,419,0,439,858,419
CTN 2-C,531,417,0,480,897,417
CTN 3-A,458,381,0,482,863,381
CTN 3-B,450,379,0,449,828,379
CTN 3-C,424,357,0,381,738,357
CV-A,363,349,0,289,638,349
CV-B,445,434,0,447,881,434
CV-C,272,271,0,294,565,271
CV-D,345,321,0,328,649,321
CV-E,396,360,0,459,819,360
CV-F,487,451,0,485,936,451
CV-G,529,482,0,523,1005,482
CV-H,531,473,0,536,1009,473
CV-I,537,579,0,512,1091,579
CV-J,463,491,0,424,915,491
CV-K,466,434,0,509,943,434
CV-L,528,536,0,496,1032,536
CV-M,453,416,0,447,863,416
CV-N,418,370,0,412,782,370
CV-O,569,564,0,542,1106,564
CV-P,492,466,0,498,964,466
CV-Q,425,400,0,481,881,400
CV-R,457,415,0,466,881,415
DAY 1-A,99,87,0,126,213,87
DAY 1-B,398,338,0,401,739,338
DAY 1-C,277,242,0,280,522,242
DAY 1-D,160,127,0,206,333,127
DAY 1-E,323,251,0,390,641,251
DAY 2-A,221,196,0,247,443,196
DAY 2-B,280,230,0,281,511,230
DAY 2-C,256,239,0,300,539,239
DAY 2-D,196,173,0,217,390,173
DAY 3-A,117,103,0,168,271,103
DAY 3-B,175,158,0,230,388,158
DAY 3-C,500,466,0,435,901,466
DAY 3-D,242,201,0,298,499,201
DAY 3-E,157,134,0,143,277,134
DAY 3-F,372,308,0,421,729,308
DAY 3-G,245,219,0,265,484,219
DAY 3-H,238,214,0,285,499,214
DAY 3-I,451,379,0,467,846,379
DAY 3-J,344,313,0,406,719,313
DAY 3-K,487,420,0,474,894,420
DAY 3-L,424,388,0,431,819,388
DAY 4-A,295,218,0,295,513,218
DAY 4-B,223,164,0,234,398,164
DAY 4-C,224,176,0,253,429,176
DAY 5-A,201,142,0,225,367,142
DAY 5-B,216,154,0,231,385,154
DAY 5-C,166,116,0,205,321,116
DAY 5-D,259,176,0,267,443,176
DAY 6-A,268,158,0,288,446,158
DAY 6-B,270,173,0,261,434,173
DAY 6-C,240,134,0,254,388,134
DAY 7-A,212,121,0,259,380,121
DAY 7-B,188,133,0,166,299,133
DAY 8-A,357,308,0,396,704,308
DAY 8-B,358,311,0,366,677,311
DAY 8-C,336,298,0,394,692,298
DAY 8-D,341,296,0,380,676,296
DAY 9-A,454,407,0,451,858,407
DAY 9-B,418,341,0,455,796,341
DAY 9-C,428,376,0,490,866,376
DAY 9-D,342,282,0,388,670,282
DAY 10-A,287,252,0,339,591,252
DAY 10-B,236,208,0,296,504,208
DAY 10-C,249,216,0,264,480,216
DAY 10-D,307,279,0,336,615,279
DAY 10-E,249,213,0,320,533,213
DAY 11-A,191,168,0,214,382,168
DAY 11-B,231,202,0,229,431,202
