precinct_code,Gerald Parker,Total Votes Cast,Overvotes,Undervotes,Contest Total,Montgomery Mary
BRK-A,456,480,0,443,923,480
BRK-B,330,357,0,342,699,357
BRK-C,404,423,0,488,911,423
BRK-D,360,377,0,407,784,377
BTLTWP-A,394,416,0,413,829,416
BTLTWP-B,316,342,0,385,727,342
BTLTWP-C,457,507,0,418,925,507
BTLTWP-D,439,449,0,412,861,449
BTLTWP-E,316,324,0,273,597,324
BTLTWP-F,318,345,0,342,687,345
BTLTWP-G,263,280,0,241,521,280
CLATWP-A,262,288,0,309,597,288
CLATWP-B,263,274,0,346,620,274
CLATWP-C,381,419,0,512,931,419
CTN 1-A,269,292,0,316,608,292
CTN 1-B,378,404,0,289,693,404
CTN 1-C,466,495,0,446,941,495
CTN 1-D,341,356,0,243,599,356
CTN 2-A,309,331,0,324,655,331
CTN 2-B,478,498,0,360,858,498
CTN 2-C,488,526,0,371,897,526
CTN 3-A,444,466,0,397,863,466
CTN 3-B,418,453,0,375,828,453
CTN 3-C,388,424,0,314,738,424
CV-A,360,366,0,272,638,366
CV-B,435,451,0,430,881,451
CV-C,263,280,0,285,565,280
CV-D,324,331,0,318,649,331
CV-E,385,407,0,412,819,407
CV-F,453,471,0,465,936,471
CV-G,503,533,0,472,1005,533
CV-H,502,522,0,487,1009,522
CV-I,520,544,0,547,1091,544
CV-J,447,456,0,459,915,456
CV-K,447,471,0,472,943,471
CV-L,517,539,0,493,1032,539
CV-M,425,450,0,413,863,450
CV-N,399,424,0,358,782,424
CV-O,544,578,0,528,1106,578
CV-P,472,499,0,465,964,499
CV-Q,412,424,0,457,881,424
CV-R,428,453,0,428,881,453
DAY 1-A,97,103,0,110,213,103
DAY 1-B,391,401,0,338,739,401
DAY 1-C,287,294,0,228,522,294
DAY 1-D,150,159,0,174,333,159
DAY 1-E,318,328,0,313,641,328
DAY 2-A,198,215,0,228,443,215
DAY 2-B,251,276,0,235,511,276
DAY 2-C,242,263,0,276,539,263
DAY 2-D,172,187,0,203,390,187
DAY 3-A,102,122,0,149,271,122
DAY 3-B,157,173,0,215,388,173
DAY 3-C,478,502,0,399,901,502
DAY 3-D,224,245,0,254,499,245
DAY 3-E,148,163,0,114,277,163
DAY 3-F,345,375,0,354,729,375
DAY 3-G,216,243,0,241,484,243
DAY 3-H,207,221,0,278,499,221
DAY 3-I,427,431,0,415,846,431
DAY 3-J,327,354,0,365,719,354
DAY 3-K,452,468,0,426,894,468
DAY 3-L,398,418,0,401,819,418
DAY 4-A,278,293,0,220,513,293
DAY 4-B,204,227,0,171,398,227
DAY 4-C,211,219,0,210,429,219
DAY 5-A,183,205,0,162,367,205
DAY 5-B,202,220,0,165,385,220
DAY 5-C,145,169,0,152,321,169
DAY 5-D,234,252,0,191,443,252
DAY 6-A,227,267,0,179,446,267
DAY 6-B,238,261,0,173,434,261
DAY 6-C,202,210,0,178,388,210
DAY 7-A,175,212,0,168,380,212
DAY 7-B,186,188,0,111,299,188
DAY 8-A,328,353,0,351,704,353
DAY 8-B,335,353,0,324,677,353
DAY 8-C,315,343,0,349,692,343
DAY 8-D,322,352,0,324,676,352
DAY 9-A,431,476,0,382,858,476
DAY 9-B,380,405,0,391,796,405
DAY 9-C,392,421,0,445,866,421
DAY 9-D,290,328,0,342,670,328
DAY 10-A,271,284,0,307,591,284
DAY 10-B,216,239,0,265,504,239
DAY 10-C,227,251,0,229,480,251
DAY 10-D,283,304,0,311,615,304
DAY 10-E,225,238,0,295,533,238
DAY 11-A,176,184,0,198,382,184
DAY 11-B,210,224,0,207,431,224
DAY 11-C,237,243,0,190,433,243
DAY 11-D,280,306,0,288,594,306
DAY 11-E,213,230,0,235,465,230
DAY 12-A,345,364,0,327,691,364
DAY 12-B,205,223,0,235,458,223
DAY 12-C,278,298,0,233,531,298
DAY 12-D,179,206,0,199,405,206
DAY 13-A,226,249,0,177,426,249
DAY 13-B,134,164,0,103,267,164
DAY 14-A,295,313,0,201,514,313
DAY 14-B,110,124,0,81,205,124
DAY 14-C,149,162,0,140,302,162
DAY 14-D,305,354,0,205,559,354
DAY 15-A,242,267,0,206,473,267
DAY 15-B,282,306,0,230,536,306
DAY 15-C,184,216,0,163,379,216
DAY 15-D,222,257,0,191,448,257
DAY 16-A,239,266,0,188,454,266
DAY 16-B,188,212,0,138,350,212
DAY 16-C,217,246,0,153,399,246
DAY 16-D,416,465,0,287,752,465
DAY 16-E,253,272,0,179,451,272
DAY 17-A,175,206,0,141,347,206
DAY 17-B,216,249,0,217,466,249
DAY 17-C,276,302,0,193,495,302
DAY 17-D,157,177,0,136,313,177
DAY 18-A,190,202,0,135,337,202
DAY 18-B,338,339,0,232,571,339
DAY 18-C,210,233,0,182,415,233
DAY 18-D,220,251,0,156,407,251
DAY 19-A,104,119,0,83,202,119
DAY 19-B,240,280,0,213,493,280
DAY 19-C,215,238,0,154,392,238
DAY 20-A,359,386,0,427,813,386
DAY 20-B,386,424,0,450,874,424
DAY 20-C,270,287,0,286,573,287
DAY 20-D,278,314,0,306,620,314
DAY 21-A,204,233,0,141,374,233
DAY 21-B,207,227,0,145,372,227
DAY 21-C,296,332,0,241,573,332
DAY 22-A,407,428,0,292,720,428
DAY 22-B,327,336,0,220,556,336
DAY 22-C,468,512,0,300,812,512
DAY 23-A,264,275,0,281,556,275
ENG-A,443,467,0,366,833,467
ENG-B,383,409,0,366,775,409
ENG-C,394,417,0,320,737,417
ENG-D,477,507,0,378,885,507
ENG-E,443,492,0,360,852,492
ENG-F,338,356,0,342,698,356
ENG-G,431,457,0,360,817,457
ENG-H,331,348,0,281,629,348
ENG-I,298,328,0,258,586,328
ENG-J,376,402,0,313,715,402
FARM,254,262,0,295,557,262
GERTWP-A,391,411,0,566,977,411
GERTWP-B,418,434,0,517,951,434
GTN-A,352,379,0,421,800,379
GTN-B,354,375,0,372,747,375
GTN-C,366,382,0,387,769,382
GTN-D,369,396,0,436,832,396
HARTWP-A,191,210,0,223,433,210
HARTWP-B,254,272,0,268,540,272
HARTWP-C,252,267,0,298,565,267
HARTWP-D,438,468,0,330,798,468
HARTWP-E,156,168,0,175,343,168
HARTWP-F,195,203,0,118,321,203
HARTWP-G,281,312,0,233,545,312
HARTWP-H,295,332,0,250,582,332
HARTWP-I,283,329,0,217,546,329
HARTWP-J,265,293,0,242,535,293
HARTWP-K,296,311,0,220,531,311
HARTWP-L,433,460,0,302,762,460
HARTWP-M,483,508,0,346,854,508
HARTWP-N,243,272,0,233,505,272
HARTWP-O,407,447,0,298,745,447
HUB 1-A,374,409,0,407,816,409
HUB 1-B,512,537,0,434,971,537
HUB 1-C,360,398,0,338,736,398
HUB 1-D,445,464,0,440,904,464
HUB 2-A,420,438,0,394,832,438
HUB 2-B,426,456,0,429,885,456
HUB 3-A,317,336,0,294,630,336
HUB 3-B,308,310,0,270,580,310
HUB 3-C,275,299,0,291,590,299
HUB 3-D,424,444,0,402,846,444
HUB 3-E,323,335,0,315,650,335
HUB 4-A,377,408,0,396,804,408
HUB 4-B,372,393,0,362,755,393
HUB 4-C,430,444,0,393,837,444
HUB 4-D,413,438,0,358,796,438
HUB 5-A,400,413,0,331,744,413
HUB 5-B,387,398,0,348,746,398
HUB 5-C,360,390,0,359,749,390
HUB 5-D,389,413,0,358,771,413
HUB 6-A,323,343,0,295,638,343
HUB 6-B,443,457,0,408,865,457
HUB 6-C,416,435,0,373,808,435
HUB 6-D,367,395,0,366,761,395
JAKTWP-A,375,409,0,550,959,409
JAKTWP-B,275,296,0,376,672,296
JEFTWP-A,427,481,0,458,939,481
JEFTWP-B,279,314,0,236,550,314
JEFTWP-C,310,334,0,360,694,334
JEFTWP-D,376,414,0,269,683,414
JNLB-A,204,217,0,262,479,217
JNLB-B,315,346,0,401,747,346
