precinct_code,DEM Cooper Lynn,REP Foley Mike,Total Votes Cast,Overvotes,Undervotes,Contest Total,REP Streck Rob
BRK-A,245,617,725,0,198,923,725
BRK-B,170,490,579,0,120,699,579
BRK-C,201,646,763,0,148,911,763
BRK-D,149,574,642,0,142,784,642
BTLTWP-A,220,561,661,0,168,829,661
BTLTWP-B,226,465,537,0,190,727,537
BTLTWP-C,295,577,720,0,205,925,720
BTLTWP-D,295,515,610,0,251,861,610
BTLTWP-E,194,382,459,0,138,597,459
BTLTWP-F,221,424,508,0,179,687,508
BTLTWP-G,210,282,363,0,158,521,363
CLATWP-A,112,455,493,0,104,597,493
CLATWP-B,106,475,520,0,100,620,520
CLATWP-C,134,736,774,0,157,931,774
CTN 1-A,151,426,479,0,129,608,479
CTN 1-B,337,328,441,0,252,693,441
CTN 1-C,354,519,643,0,298,941,643
CTN 1-D,324,256,354,0,245,599,354
CTN 2-A,289,327,420,0,235,655,420
CTN 2-B,418,408,546,0,312,858,546
CTN 2-C,487,356,532,0,365,897,532
CTN 3-A,430,383,517,0,346,863,517
CTN 3-B,420,365,508,0,320,828,508
CTN 3-C,405,297,422,0,316,738,422
CV-A,330,262,412,0,226,638,412
CV-B,364,455,559,0,322,881,559
CV-C,217,306,380,0,185,565,380
CV-D,262,326,402,0,247,649,402
CV-E,310,453,536,0,283,819,536
CV-F,377,491,598,0,338,936,598
CV-G,440,503,658,0,347,1005,658
CV-H,413,530,654,0,355,1009,654
CV-I,382,627,752,0,339,1091,752
CV-J,327,522,620,0,295,915,620
CV-K,375,484,603,0,340,943,603
CV-L,401,554,682,0,350,1032,682
CV-M,351,460,590,0,273,863,590
CV-N,328,390,492,0,290,782,492
CV-O,458,559,719,0,387,1106,719
CV-P,402,493,614,0,350,964,614
CV-Q,359,440,548,0,333,881,548
CV-R,390,434,554,0,327,881,554
DAY 1-A,128,60,103,0,110,213,103
DAY 1-B,516,181,348,0,391,739,348
DAY 1-C,374,112,238,0,284,522,238
DAY 1-D,233,82,123,0,210,333,123
DAY 1-E,459,159,255,0,386,641,255
DAY 2-A,170,240,279,0,164,443,279
DAY 2-B,321,157,243,0,268,511,243
DAY 2-C,268,232,313,0,226,539,313
DAY 2-D,168,183,244,0,146,390,244
DAY 3-A,107,140,169,0,102,271,169
DAY 3-B,156,195,239,0,149,388,239
DAY 3-C,391,462,582,0,319,901,582
DAY 3-D,261,202,281,0,218,499,281
DAY 3-E,121,132,172,0,105,277,172
DAY 3-F,363,330,435,0,294,729,435
DAY 3-G,157,284,346,0,138,484,346
DAY 3-H,183,277,335,0,164,499,335
DAY 3-I,406,372,477,0,369,846,477
DAY 3-J,325,330,428,0,291,719,428
DAY 3-K,436,407,540,0,354,894,540
DAY 3-L,332,435,547,0,272,819,547
DAY 4-A,380,113,221,0,292,513,221
DAY 4-B,284,96,177,0,221,398,177
DAY 4-C,291,105,183,0,246,429,183
DAY 5-A,289,43,106,0,261,367,106
DAY 5-B,297,60,137,0,248,385,137
DAY 5-C,244,49,109,0,212,321,109
DAY 5-D,361,61,141,0,302,443,141
DAY 6-A,364,45,150,0,296,446,150
DAY 6-B,361,54,158,0,276,434,158
DAY 6-C,317,45,120,0,268,388,120
DAY 7-A,299,53,101,0,279,380,101
DAY 7-B,251,34,92,0,207,299,92
DAY 8-A,353,301,400,0,304,704,400
DAY 8-B,404,229,370,0,307,677,370
DAY 8-C,386,263,365,0,327,692,365
DAY 8-D,365,266,368,0,308,676,368
DAY 9-A,470,329,488,0,370,858,488
DAY 9-B,406,334,436,0,360,796,436
DAY 9-C,433,366,488,0,378,866,488
DAY 9-D,323,304,393,0,277,670,393
DAY 10-A,283,268,332,0,259,591,332
DAY 10-B,204,258,314,0,190,504,314
DAY 10-C,250,204,278,0,202,480,278
DAY 10-D,273,296,398,0,217,615,398
DAY 10-E,252,242,288,0,245,533,288
DAY 11-A,196,162,237,0,145,382,237
DAY 11-B,187,213,287,0,144,431,287
DAY 11-C,226,183,259,0,174,433,259
DAY 11-D,223,325,411,0,183,594,411
DAY 11-E,195,241,300,0,165,465,300
DAY 12-A,332,308,419,0,272,691,419
DAY 12-B,301,128,190,0,268,458,190
DAY 12-C,252,246,328,0,203,531,328
DAY 12-D,187,179,233,0,172,405,233
