precinct_code,DEM Lieberman Deborah,McDonald REP Mary,Total Votes Cast,Overvotes,Undervotes,Contest Total,DEM Mat Heck Jr.
BRK-A,271,585,588,0,335,923,588
BRK-B,208,452,424,0,275,699,424
BRK-C,254,591,553,0,358,911,553
BRK-D,180,541,443,0,341,784,443
BTLTWP-A,250,532,475,0,354,829,475
BTLTWP-B,238,451,430,0,297,727,430
BTLTWP-C,309,577,553,0,372,925,553
BTLTWP-D,327,492,544,0,317,861,544
BTLTWP-E,223,358,410,0,187,597,410
BTLTWP-F,246,400,400,0,287,687,400
BTLTWP-G,224,273,346,0,175,521,346
CLATWP-A,138,426,320,0,277,597,320
CLATWP-B,123,455,345,0,275,620,345
CLATWP-C,173,693,458,0,473,931,458
CTN 1-A,170,404,346,0,262,608,346
CTN 1-B,359,302,518,0,175,693,518
CTN 1-C,380,503,633,0,308,941,633
CTN 1-D,330,250,446,0,153,599,446
CTN 2-A,324,298,451,0,204,655,451
CTN 2-B,461,361,644,0,214,858,644
CTN 2-C,517,321,656,0,241,897,656
CTN 3-A,473,346,601,0,262,863,601
CTN 3-B,430,356,588,0,240,828,588
CTN 3-C,430,279,559,0,179,738,559
CV-A,330,266,445,0,193,638,445
CV-B,378,452,525,0,356,881,525
CV-C,225,306,318,0,247,565,318
CV-D,274,312,412,0,237,649,412
CV-E,320,447,488,0,331,819,488
CV-F,383,486,546,0,390,936,546
CV-G,453,488,645,0,360,1005,645
CV-H,464,482,637,0,372,1009,637
CV-I,392,637,639,0,452,1091,639
CV-J,349,508,531,0,384,915,531
CV-K,410,458,581,0,362,943,581
CV-L,434,544,625,0,407,1032,625
CV-M,372,450,550,0,313,863,550
CV-N,349,378,493,0,289,782,493
CV-O,469,562,678,0,428,1106,678
CV-P,411,489,575,0,389,964,575
CV-Q,383,420,519,0,362,881,519
CV-R,390,432,546,0,335,881,546
DAY 1-A,127,62,122,0,91,213,122
DAY 1-B,518,180,555,0,184,739,555
DAY 1-C,375,127,407,0,115,522,407
DAY 1-D,231,86,244,0,89,333,244
DAY 1-E,448,162,476,0,165,641,476
DAY 2-A,185,225,274,0,169,443,274
DAY 2-B,330,154,378,0,133,511,378
DAY 2-C,279,215,359,0,180,539,359
DAY 2-D,184,181,245,0,145,390,245
DAY 3-A,116,125,160,0,111,271,160
DAY 3-B,179,173,230,0,158,388,230
DAY 3-C,410,441,578,0,323,901,578
DAY 3-D,253,215,329,0,170,499,329
DAY 3-E,126,127,191,0,86,277,191
DAY 3-F,380,311,475,0,254,729,475
DAY 3-G,171,269,287,0,197,484,287
DAY 3-H,195,262,292,0,207,499,292
DAY 3-I,430,346,553,0,293,846,553
DAY 3-J,344,318,445,0,274,719,445
DAY 3-K,446,399,594,0,300,894,594
DAY 3-L,371,412,492,0,327,819,492
DAY 4-A,374,118,416,0,97,513,416
DAY 4-B,278,101,310,0,88,398,310
DAY 4-C,294,107,319,0,110,429,319
DAY 5-A,287,51,305,0,62,367,305
DAY 5-B,298,68,321,0,64,385,321
DAY 5-C,243,52,260,0,61,321,260
DAY 5-D,347,79,380,0,63,443,380
DAY 6-A,355,65,395,0,51,446,395
DAY 6-B,341,70,378,0,56,434,378
DAY 6-C,317,54,338,0,50,388,338
DAY 7-A,305,55,325,0,55,380,325
DAY 7-B,244,46,253,0,46,299,253
DAY 8-A,361,287,462,0,242,704,462
DAY 8-B,404,239,484,0,193,677,484
DAY 8-C,407,235,466,0,226,692,466
DAY 8-D,379,252,452,0,224,676,452
DAY 9-A,477,336,582,0,276,858,582
DAY 9-B,430,318,531,0,265,796,531
DAY 9-C,464,349,574,0,292,866,574
DAY 9-D,337,295,449,0,221,670,449
DAY 10-A,295,257,382,0,209,591,382
DAY 10-B,211,259,305,0,199,504,305
DAY 10-C,262,194,329,0,151,480,329
DAY 10-D,281,291,387,0,228,615,387
DAY 10-E,269,232,329,0,204,533,329
DAY 11-A,202,161,256,0,126,382,256
DAY 11-B,202,197,272,0,159,431,272
DAY 11-C,229,176,313,0,120,433,313
DAY 11-D,254,299,363,0,231,594,363
DAY 11-E,197,247,296,0,169,465,296
DAY 12-A,352,302,463,0,228,691,463
DAY 12-B,308,127,324,0,134,458,324
DAY 12-C,269,228,370,0,161,531,370
DAY 12-D,214,154,270,0,135,405,270
DAY 13-A,346,60,364,0,62,426,364
DAY 13-B,218,26,227,0,40,267,227
DAY 14-A,391,93,423,0,91,514,423
DAY 14-B,168,24,171,0,34,205,171
DAY 14-C,232,54,252,0,50,302,252
DAY 14-D,468,71,500,0,59,559,500
DAY 15-A,381,66,407,0,66,473,407
DAY 15-B,430,73,469,0,67,536,469
DAY 15-C,312,46,333,0,46,379,333
DAY 15-D,353,59,391,0,57,448,391
DAY 16-A,376,53,386,0,68,454,386
DAY 16-B,282,48,313,0,37,350,313
DAY 16-C,320,65,327,0,72,399,327
DAY 16-D,621,103,667,0,85,752,667
DAY 16-E,366,65,401,0,50,451,401
DAY 17-A,258,77,284,0,63,347,284
DAY 17-B,336,100,377,0,89,466,377
DAY 17-C,386,78,424,0,71,495,424
DAY 17-D,229,71,249,0,64,313,249
DAY 18-A,274,50,292,0,45,337,292
DAY 18-B,425,128,475,0,96,571,475
DAY 18-C,316,76,327,0,88,415,327
DAY 18-D,299,94,326,0,81,407,326
DAY 19-A,174,20,175,0,27,202,175
DAY 19-B,413,58,437,0,56,493,437
DAY 19-C,330,42,341,0,51,392,341
DAY 20-A,356,406,493,0,320,813,493
DAY 20-B,402,413,532,0,342,874,532
DAY 20-C,236,308,360,0,213,573,360
DAY 20-D,238,340,366,0,254,620,366
DAY 21-A,290,72,324,0,50,374,324
DAY 21-B,294,57,327,0,45,372,327
DAY 21-C,472,82,500,0,73,573,500
DAY 22-A,576,112,609,0,111,720,609
DAY 22-B,440,85,462,0,94,556,462
DAY 22-C,690,75,731,0,81,812,731
DAY 23-A,398,123,426,0,130,556,426
ENG-A,423,358,597,0,236,833,597
ENG-B,320,397,520,0,255,775,520
ENG-C,383,316,543,0,194,737,543
ENG-D,381,461,608,0,277,885,608
ENG-E,456,350,628,0,224,852,628
ENG-F,276,385,466,0,232,698,466
ENG-G,360,408,577,0,240,817,577
ENG-H,279,316,444,0,185,629,444
ENG-I,292,268,416,0,170,586,416
ENG-J,378,303,532,0,183,715,532
FARM,134,378,284,0,273,557,284
GERTWP-A,188,738,432,0,545,977,432
GERTWP-B,221,668,440,0,511,951,440
GTN-A,236,514,430,0,370,800,430
GTN-B,214,488,400,0,347,747,400
GTN-C,191,529,406,0,363,769,406
GTN-D,200,564,418,0,414,832,418
HARTWP-A,147,256,254,0,179,433,254
HARTWP-B,176,321,330,0,210,540,330
HARTWP-C,206,305,345,0,220,565,345
HARTWP-D,495,264,621,0,177,798,621
HARTWP-E,119,201,218,0,125,343,218
HARTWP-F,237,70,272,0,49,321,272
HARTWP-G,397,119,456,0,89,545,456
HARTWP-H,443,108,491,0,91,582,491
HARTWP-I,376,139,448,0,98,546,448
HARTWP-J,409,93,452,0,83,535,452
HARTWP-K,372,125,428,0,103,531,428
HARTWP-L,516,225,603,0,159,762,603
HARTWP-M,662,158,749,0,105,854,749
HARTWP-N,162,298,304,0,201,505,304
HARTWP-O,519,189,625,0,120,745,625
HUB 1-A,306,464,495,0,321,816,495
HUB 1-B,446,471,668,0,303,971,668
HUB 1-C,398,286,524,0,212,736,524
HUB 1-D,358,488,588,0,316,904,588
HUB 2-A,371,407,539,0,293,832,539
HUB 2-B,340,482,555,0,330,885,555
HUB 3-A,262,335,406,0,224,630,406
HUB 3-B,317,225,421,0,159,580,421
HUB 3-C,233,313,372,0,218,590,372
HUB 3-D,326,469,539,0,307,846,539
HUB 3-E,309,302,427,0,223,650,427
HUB 4-A,320,427,524,0,280,804,524
HUB 4-B,285,414,473,0,282,755,473
HUB 4-C,374,412,548,0,289,837,548
HUB 4-D,393,366,575,0,221,796,575
HUB 5-A,297,399,484,0,260,744,484
HUB 5-B,352,344,503,0,243,746,503
HUB 5-C,305,398,490,0,259,749,490
HUB 5-D,328,398,502,0,269,771,502
HUB 6-A,265,340,414,0,224,638,414
HUB 6-B,318,495,531,0,334,865,531
HUB 6-C,340,412,517,0,291,808,517
HUB 6-D,279,439,466,0,295,761,466
JAKTWP-A,201,699,482,0,477,959,482
JAKTWP-B,139,483,273,0,399,672,273
JEFTWP-A,459,430,586,0,353,939,586
JEFTWP-B,332,184,397,0,153,550,397
JEFTWP-C,247,411,387,0,307,694,387
JEFTWP-D,555,99,596,0,87,683,596
JNLB-A,123,313,245,0,234,479,245
JNLB-B,185,505,402,0,345,747,402
KT 1-A,344,273,457,0,200,657,457
KT 1-B,234,371,372,0,280,652,372
KT 1-C,343,468,524,0,350,874,524
KT 1-D,382,402,533,0,310,843,533
KT 1-E,279,357,418,0,264,682,418
KT 1-F,285,343,415,0,252,667,415
KT 1-G,302,358,416,0,293,709,416
KT 1-H,398,461,575,0,337,912,575
KT 1-I,362,370,500,0,283,783,500
KT 2-A,337,369,466,0,300,766,466
KT 2-B,329,365,471,0,268,739,471
KT 2-C,367,371,515,0,278,793,515
KT 2-D,395,429,575,0,298,873,575
KT 2-E,322,434,487,0,322,809,487
KT 2-F,256,356,413,0,251,664,413
KT 2-G,395,568,586,0,444,1030,586
KT 2-H,378,432,538,0,335,873,538
KT 2-I,290,335,408,0,252,660,408
KT 2-J,272,244,375,0,179,554,375
KT 3-A,404,376,551,0,277,828,551
KT 3-B,449,327,571,0,242,813,571
KT 3-C,318,442,480,0,312,792,480
KT 3-D,409,242,491,0,211,702,491
KT 3-E,391,406,539,0,307,846,539
KT 3-F,321,307,439,0,245,684,439
KT 3-G,315,341,440,0,239,679,440
KT 3-H,375,382,540,0,267,807,540
KT 3-I,302,357,432,0,256,688,432
KT 3-J,324,321,422,0,249,671,422
KT 3-K,438,458,616,0,330,946,616
KT 4-A,497,380,626,0,296,922,626
KT 4-B,565,310,677,0,262,939,677
KT 4-C,245,284,345,0,218,563,345
KT 4-D,408,369,536,0,278,814,536
KT 4-E,348,337,472,0,259,731,472
KT 4-F,395,335,503,0,267,770,503
KT 4-G,440,503,622,0,374,996,622
KT 4-H,305,327,446,0,233,679,446
KT 4-I,447,347,576,0,272,848,576
KT 4-J,427,295,522,0,244,766,522
KT 4-K,384,351,531,0,260,791,531
MBG 1-A,303,519,484,0,416,900,484
MBG 1-B,246,541,472,0,387,859,472
MBG 1-C,302,434,483,0,293,776,483
MBG 2-A,223,340,354,0,256,610,354
MBG 2-B,246,490,448,0,359,807,448
MBG 2-C,261,542,461,0,400,861,461
MBG 3-A,210,344,377,0,219,596,377
MBG 3-B,295,430,455,0,340,795,455
MBG 3-C,279,370,434,0,261,695,434
MBG 3-D,265,529,482,0,361,843,482
MBG 4-A,241,452,431,0,309,740,431
MBG 4-B,201,422,378,0,284,662,378
MBG 4-C,210,354,377,0,220,597,377
MBG 4-D,408,622,656,0,444,1100,656
MIATWP-A,330,434,488,0,328,816,488
MIATWP-B,315,337,430,0,288,718,430
MIATWP-C,188,593,392,0,449,841,392
MIATWP-D,324,343,431,0,278,709,431
MIATWP-E,368,553,568,0,403,971,568
MIATWP-F,355,350,502,0,253,755,502
MIATWP-G,247,381,410,0,270,680,410
MIATWP-H,295,361,445,0,258,703,445
MIATWP-I,208,193,282,0,147,429,282
MIATWP-J,160,495,283,0,414,697,283
MIATWP-K,343,539,533,0,406,939,533
MIATWP-L,247,330,360,0,256,616,360
MIATWP-M,284,377,438,0,263,701,438
MIATWP-N,319,442,494,0,307,801,494
MIATWP-O,296,403,437,0,313,750,437
MIATWP-P,261,238,361,0,163,524,361
MIATWP-Q,377,374,527,0,269,796,527
MIATWP-R,192,210,274,0,154,428,274
MIATWP-S,229,475,379,0,372,751,379
MIATWP-T,226,346,343,0,282,625,343
MIATWP-U,283,284,383,0,220,603,383
MIATWP-V,242,430,409,0,328,737,409
MOR 1-A,148,282,264,0,200,464,264
MOR 2-A,308,465,484,0,350,834,484
MOR 3-A,172,316,282,0,245,527,282
MOR 4-A,205,227,301,0,166,467,301
MOR 4-B,232,127,285,0,99,384,285
OAK-A,472,324,577,0,256,833,577
OAK-B,435,352,557,0,270,827,557
OAK-C,403,232,459,0,222,681,459
OAK-D,420,227,480,0,204,684,480
OAK-E,454,218,502,0,200,702,502
OAK-F,553,281,621,0,248,869,621
