precinct_code,DEM J. Shahan Andrew,Total Votes Cast,Overvotes,Undervotes,Contest Total,Harshbarger REP Kent E.
BRK-A,488,697,0,226,923,697
BRK-B,354,557,0,142,699,557
BRK-C,428,696,0,215,911,696
BRK-D,349,603,0,181,784,603
BTLTWP-A,414,648,0,181,829,648
BTLTWP-B,385,521,0,206,727,521
BTLTWP-C,492,713,0,212,925,713
BTLTWP-D,500,619,0,242,861,619
BTLTWP-E,361,449,0,148,597,449
BTLTWP-F,356,495,0,192,687,495
BTLTWP-G,314,362,0,159,521,362
CLATWP-A,278,477,0,120,597,477
CLATWP-B,282,504,0,116,620,504
CLATWP-C,380,728,0,203,931,728
CTN 1-A,299,461,0,147,608,461
CTN 1-B,455,456,0,237,693,456
CTN 1-C,533,629,0,312,941,629
CTN 1-D,424,355,0,244,599,355
CTN 2-A,417,422,0,233,655,422
CTN 2-B,592,549,0,309,858,549
CTN 2-C,623,522,0,375,897,522
CTN 3-A,561,508,0,355,863,508
CTN 3-B,546,511,0,317,828,511
CTN 3-C,530,438,0,300,738,438
CV-A,432,412,0,226,638,412
CV-B,496,562,0,319,881,562
CV-C,303,374,0,191,565,374
CV-D,390,403,0,246,649,403
CV-E,448,531,0,288,819,531
CV-F,508,601,0,335,936,601
CV-G,586,662,0,343,1005,662
CV-H,581,654,0,355,1009,654
CV-I,575,753,0,338,1091,753
CV-J,496,627,0,288,915,627
CV-K,532,586,0,357,943,586
CV-L,572,690,0,342,1032,690
CV-M,498,576,0,287,863,576
CV-N,461,479,0,303,782,479
CV-O,636,715,0,391,1106,715
CV-P,549,619,0,345,964,619
CV-Q,495,535,0,346,881,535
CV-R,513,548,0,333,881,548
DAY 1-A,123,111,0,102,213,111
DAY 1-B,539,360,0,379,739,360
DAY 1-C,404,240,0,282,522,240
DAY 1-D,235,128,0,205,333,128
DAY 1-E,464,274,0,367,641,274
DAY 2-A,257,276,0,167,443,276
DAY 2-B,364,254,0,257,511,254
DAY 2-C,346,314,0,225,539,314
DAY 2-D,228,240,0,150,390,240
DAY 3-A,145,177,0,94,271,177
DAY 3-B,216,238,0,150,388,238
DAY 3-C,547,593,0,308,901,593
DAY 3-D,302,284,0,215,499,284
DAY 3-E,173,181,0,96,277,181
DAY 3-F,454,430,0,299,729,430
DAY 3-G,253,350,0,134,484,350
DAY 3-H,269,326,0,173,499,326
DAY 3-I,539,475,0,371,846,475
DAY 3-J,421,423,0,296,719,423
DAY 3-K,564,538,0,356,894,538
DAY 3-L,474,548,0,271,819,548
DAY 4-A,417,235,0,278,513,235
DAY 4-B,308,185,0,213,398,185
DAY 4-C,321,195,0,234,429,195
DAY 5-A,298,114,0,253,367,114
DAY 5-B,319,150,0,235,385,150
DAY 5-C,253,111,0,210,321,111
DAY 5-D,385,162,0,281,443,162
DAY 6-A,385,164,0,282,446,164
DAY 6-B,382,181,0,253,434,181
DAY 6-C,331,129,0,259,388,129
DAY 7-A,325,116,0,264,380,116
DAY 7-B,261,104,0,195,299,104
DAY 8-A,434,406,0,298,704,406
DAY 8-B,468,373,0,304,677,373
DAY 8-C,457,371,0,321,692,371
DAY 8-D,422,383,0,293,676,383
DAY 9-A,547,487,0,371,858,487
DAY 9-B,497,452,0,344,796,452
DAY 9-C,538,491,0,375,866,491
DAY 9-D,424,407,0,263,670,407
DAY 10-A,365,341,0,250,591,341
DAY 10-B,267,317,0,187,504,317
DAY 10-C,302,280,0,200,480,280
DAY 10-D,349,387,0,228,615,387
DAY 10-E,310,289,0,244,533,289
DAY 11-A,238,230,0,152,382,230
DAY 11-B,253,286,0,145,431,286
