precinct_code,Benson-Taylor DEM Stacey,Kennedy REP Lori,Total Votes Cast,Overvotes,Undervotes,Contest Total,Mohamed Hamdani DEM Al-,McManus REP John
BRK-A,252,591,849,0,74,923,182,667
BRK-B,156,487,655,1,43,699,130,525
BRK-C,199,623,839,0,72,911,144,695
BRK-D,140,569,723,0,61,784,117,606
BTLTWP-A,213,558,775,0,54,829,175,600
BTLTWP-B,228,451,689,0,38,727,191,498
BTLTWP-C,279,591,877,0,48,925,227,650
BTLTWP-D,288,515,807,0,54,861,238,569
BTLTWP-E,196,374,575,0,22,597,152,423
BTLTWP-F,225,412,638,1,48,687,176,462
BTLTWP-G,212,271,488,0,33,521,191,297
CLATWP-A,117,442,567,0,30,597,96,471
CLATWP-B,103,469,577,0,43,620,88,489
CLATWP-C,135,711,868,0,63,931,101,767
CTN 1-A,144,415,569,1,38,608,110,459
CTN 1-B,348,307,656,0,37,693,302,354
CTN 1-C,344,503,857,0,84,941,313,544
CTN 1-D,338,230,573,0,26,599,295,278
CTN 2-A,297,303,605,0,50,655,272,333
CTN 2-B,447,367,812,0,46,858,384,428
CTN 2-C,509,319,831,0,66,897,440,391
CTN 3-A,448,361,814,0,49,863,403,411
CTN 3-B,418,356,775,0,53,828,365,410
CTN 3-C,430,270,696,0,42,738,388,308
CV-A,328,261,587,0,51,638,296,291
CV-B,366,443,817,0,64,881,317,500
CV-C,203,316,526,0,39,565,173,353
CV-D,279,295,577,0,72,649,246,331
CV-E,305,447,757,0,62,819,244,513
CV-F,364,492,863,0,73,936,304,559
CV-G,418,513,939,0,66,"1,005",350,589
CV-H,406,523,924,0,85,"1,009",316,608
CV-I,374,637,"1,016",0,75,"1,091",305,711
CV-J,316,514,833,0,82,915,270,563
CV-K,367,471,856,0,87,943,305,551
CV-L,391,555,953,1,78,"1,032",340,613
CV-M,341,461,808,0,55,863,274,534
CV-N,311,386,714,0,68,782,264,450
CV-O,436,569,"1,019",0,87,"1,106",369,650
CV-P,387,489,886,0,78,964,326,560
CV-Q,356,426,793,0,88,881,312,481
CV-R,377,427,811,0,70,881,338,473
DAY 1-A,123,58,183,0,30,213,104,79
DAY 1-B,511,178,685,0,54,739,464,221
DAY 1-C,378,106,482,0,40,522,350,132
DAY 1-D,239,76,322,0,11,333,213,109
DAY 1-E,463,138,601,0,40,641,405,196
DAY 2-A,185,219,401,0,42,443,155,246
DAY 2-B,323,152,478,0,33,511,297,181
DAY 2-C,271,215,492,0,47,539,252,240
