precinct_code,VOTE FOR 1
BRK-A,680
BRK-B,529
BRK-C,687
BRK-D,595
BTLTWP-A,624
BTLTWP-B,513
BTLTWP-C,687
BTLTWP-D,594
BTLTWP-E,435
BTLTWP-F,481
BTLTWP-G,337
CLATWP-A,466
CLATWP-B,491
CLATWP-C,729
CTN 1-A,451
CTN 1-B,412
CTN 1-C,597
CTN 1-D,328
CTN 2-A,399
CTN 2-B,508
CTN 2-C,474
CTN 3-A,475
CTN 3-B,484
CTN 3-C,412
CV-A,403
CV-B,523
CV-C,374
CV-D,389
CV-E,513
CV-F,588
CV-G,619
CV-H,621
CV-I,742
CV-J,614
CV-K,576
CV-L,666
CV-M,561
CV-N,465
CV-O,695
CV-P,592
CV-Q,527
CV-R,534
DAY 1-A,98
DAY 1-B,333
DAY 1-C,221
DAY 1-D,121
DAY 1-E,237
DAY 2-A,262
DAY 2-B,233
DAY 2-C,297
DAY 2-D,236
DAY 3-A,162
DAY 3-B,236
DAY 3-C,572
DAY 3-D,265
DAY 3-E,164
DAY 3-F,399
DAY 3-G,322
DAY 3-H,324
DAY 3-I,456
DAY 3-J,413
DAY 3-K,534
DAY 3-L,530
DAY 4-A,200
DAY 4-B,161
DAY 4-C,164
DAY 5-A,98
DAY 5-B,118
DAY 5-C,91
DAY 5-D,123
DAY 6-A,128
DAY 6-B,137
DAY 6-C,105
DAY 7-A,87
DAY 7-B,77
DAY 8-A,374
DAY 8-B,343
DAY 8-C,338
DAY 8-D,352
DAY 9-A,465
DAY 9-B,423
DAY 9-C,468
DAY 9-D,376
DAY 10-A,330
DAY 10-B,315
DAY 10-C,266
DAY 10-D,381
DAY 10-E,284
DAY 11-A,223
DAY 11-B,277
DAY 11-C,260
DAY 11-D,395
DAY 11-E,290
DAY 12-A,404
DAY 12-B,178
DAY 12-C,325
DAY 12-D,224
DAY 13-A,99
DAY 13-B,81
DAY 14-A,153
DAY 14-B,62
DAY 14-C,76
DAY 14-D,156
DAY 15-A,139
DAY 15-B,133
DAY 15-C,74
DAY 15-D,110
DAY 16-A,123
DAY 16-B,100
DAY 16-C,117
DAY 16-D,202
DAY 16-E,134
DAY 17-A,132
DAY 17-B,172
DAY 17-C,171
DAY 17-D,108
DAY 18-A,115
DAY 18-B,204
DAY 18-C,137
