precinct_code,YES,NO,Total Votes Cast,Overvotes,Undervotes,Contest Total,Yes,No
BRK-A,330,542,861.0,0.0,62.0,923.0,246.0,615.0
BRK-B,219,451,667.0,0.0,31.0,698.0,208.0,459.0
BRK-C,293,571,859.0,1.0,49.0,909.0,276.0,583.0
BRK-D,236,503,738.0,1.0,45.0,784.0,221.0,517.0
BTLTWP-A,271,526,,,,,,
BTLTWP-B,263,436,,,,,,
BTLTWP-C,334,549,,,,,,
BTLTWP-D,341,484,,,,,,
BTLTWP-E,234,343,,,,,,
BTLTWP-F,266,401,,,,,,
BTLTWP-G,228,266,,,,,,
CLATWP-A,160,408,,,,,,
CLATWP-B,152,428,,,,,,
CLATWP-C,206,679,,,,,,
CTN 1-A,196,395,,,,,,
CTN 1-B,344,330,,,,,,
CTN 1-C,405,485,,,,,,
CTN 1-D,320,256,,,,,,
CTN 2-A,327,299,,,,,,
CTN 2-B,482,354,,,,,,
CTN 2-C,526,333,,,,,,
CTN 3-A,475,355,,,,,,
CTN 3-B,444,360,,,,,,
CTN 3-C,427,284,,,,,,
CV-A,344,266,,,,,,
CV-B,412,428,,,,,,
CV-C,252,290,,,,,,
CV-D,298,313,,,,,,
CV-E,367,419,,,,,,
CV-F,432,458,,,,,,
CV-G,500,460,,,,,,
CV-H,476,487,,,,,,
CV-I,431,614,,,,,,
CV-J,389,492,,,,,,
CV-K,441,465,,,,,,
CV-L,444,548,,,,,,
CV-M,396,434,,,,,,
CV-N,398,332,,,,,,
CV-O,508,546,,,,,,
CV-P,452,472,,,,,,
CV-Q,394,431,,,,,,
CV-R,454,368,,,,,,
DAY 1-A,133,68,,,,,,
DAY 1-B,523,184,,,,,,
DAY 1-C,374,115,,,,,,
DAY 1-D,239,81,,,,,,
DAY 1-E,468,150,,,,,,
DAY 2-A,236,179,,,,,,
DAY 2-B,345,150,,,,,,
DAY 2-C,288,229,,,,,,
DAY 2-D,183,174,,,,,,
DAY 3-A,134,121,,,,,,
DAY 3-B,171,190,,,,,,
DAY 3-C,455,415,,,,,,
DAY 3-D,260,216,,,,,,
DAY 3-E,148,115,,,,,,
DAY 3-F,412,290,,,,,,
DAY 3-G,227,226,,,,,,
DAY 3-H,228,247,,,,,,
DAY 3-I,442,371,,,,,,
DAY 3-J,375,308,,,,,,
DAY 3-K,471,390,,,,,,
DAY 3-L,377,410,,,,,,
DAY 4-A,372,124,,,,,,
DAY 4-B,268,107,,,,,,
DAY 4-C,298,112,,,,,,
DAY 5-A,283,55,,,,,,
DAY 5-B,288,77,,,,,,
DAY 5-C,234,60,,,,,,
DAY 5-D,341,85,,,,,,
DAY 6-A,345,67,,,,,,
DAY 6-B,341,68,,,,,,
DAY 6-C,314,57,,,,,,
DAY 7-A,300,47,,,,,,
DAY 7-B,231,55,,,,,,
DAY 8-A,379,289,,,,,,
DAY 8-B,426,219,,,,,,
DAY 8-C,431,236,,,,,,
DAY 8-D,371,274,,,,,,
DAY 9-A,500,328,,,,,,
DAY 9-B,484,266,,,,,,
DAY 9-C,498,337,,,,,,
DAY 9-D,347,284,,,,,,
DAY 10-A,321,243,,,,,,
DAY 10-B,239,241,,,,,,
DAY 10-C,271,188,,,,,,
DAY 10-D,306,284,,,,,,
DAY 10-E,292,221,,,,,,
DAY 11-A,205,158,,,,,,
DAY 11-B,216,183,,,,,,
DAY 11-C,248,168,,,,,,
DAY 11-D,258,294,,,,,,
DAY 11-E,230,210,,,,,,
DAY 12-A,372,281,,,,,,
DAY 12-B,328,116,,,,,,
DAY 12-C,294,211,,,,,,
DAY 12-D,231,147,,,,,,
DAY 13-A,323,66,,,,,,
DAY 13-B,209,40,,,,,,
DAY 14-A,390,102,,,,,,
DAY 14-B,154,39,,,,,,
DAY 14-C,221,58,,,,,,
DAY 14-D,451,82,,,,,,
DAY 15-A,385,62,,,,,,
DAY 15-B,426,74,,,,,,
DAY 15-C,302,51,,,,,,
DAY 15-D,364,56,,,,,,
DAY 16-A,353,80,,,,,,
DAY 16-B,287,47,,,,,,
DAY 16-C,331,52,,,,,,
DAY 16-D,587,128,,,,,,
DAY 16-E,343,76,,,,,,
DAY 17-A,259,75,,,,,,
DAY 17-B,304,137,,,,,,
DAY 17-C,377,96,,,,,,
DAY 17-D,235,63,,,,,,
DAY 18-A,258,67,,,,,,
DAY 18-B,427,119,,,,,,
DAY 18-C,299,93,,,,,,
DAY 18-D,284,102,,,,,,
DAY 19-A,154,37,,,,,,
DAY 19-B,368,86,,,,,,
DAY 19-C,326,46,,,,,,
DAY 20-A,401,374,,,,,,
DAY 20-B,431,392,,,,,,
DAY 20-C,279,269,,,,,,
DAY 20-D,281,315,,,,,,
DAY 21-A,306,50,,,,,,
DAY 21-B,292,56,,,,,,
DAY 21-C,456,84,,,,,,
DAY 22-A,555,135,,,,,,
DAY 22-B,445,87,,,,,,
DAY 22-C,654,116,,,,,,
DAY 23-A,393,127,,,,,,
ENG-A,400,399,,,,,,
ENG-B,341,401,,,,,,
ENG-C,364,344,,,,,,
ENG-D,398,450,,,,,,
ENG-E,437,376,,,,,,
ENG-F,308,364,,,,,,
ENG-G,353,420,,,,,,
ENG-H,294,304,,,,,,
ENG-I,283,275,,,,,,
ENG-J,376,309,,,,,,
FARM,147,383,,,,,,
GERTWP-A,235,703,,,,,,
GERTWP-B,235,670,,,,,,
GTN-A,295,465,,,,,,
GTN-B,264,455,,,,,,
GTN-C,243,495,,,,,,
GTN-D,265,519,,,,,,
HARTWP-A,167,246,,,,,,
HARTWP-B,228,277,,,,,,
HARTWP-C,240,302,,,,,,
HARTWP-D,478,295,,,,,,
HARTWP-E,130,192,,,,,,
HARTWP-F,235,74,,,,,,
HARTWP-G,388,132,,,,,,
HARTWP-H,416,148,,,,,,
HARTWP-I,362,163,,,,,,
HARTWP-J,401,108,,,,,,
HARTWP-K,379,126,,,,,,
HARTWP-L,521,228,,,,,,
HARTWP-M,626,195,,,,,,
HARTWP-N,204,270,,,,,,
HARTWP-O,522,179,,,,,,
HUB 1-A,359,416,,,,,,
HUB 1-B,439,497,,,,,,
HUB 1-C,404,277,,,,,,
HUB 1-D,404,446,,,,,,
HUB 2-A,398,398,,,,,,
HUB 2-B,412,437,,,,,,
HUB 3-A,272,326,,,,,,
HUB 3-B,301,248,,,,,,
HUB 3-C,265,296,,,,,,
HUB 3-D,348,454,,,,,,
HUB 3-E,302,317,,,,,,
HUB 4-A,355,397,,,,,,
HUB 4-B,345,369,,,,,,
HUB 4-C,397,395,,,,,,
HUB 4-D,411,346,,,,,,
HUB 5-A,321,372,,,,,,
HUB 5-B,343,364,,,,,,
HUB 5-C,369,353,,,,,,
HUB 5-D,347,392,,,,,,
HUB 6-A,287,326,,,,,,
HUB 6-B,331,491,,,,,,
HUB 6-C,347,415,,,,,,
HUB 6-D,282,448,,,,,,
JAKTWP-A,230,691,,,,,,
JAKTWP-B,175,459,,,,,,
JEFTWP-A,456,443,,,,,,
JEFTWP-B,316,200,,,,,,
JEFTWP-C,263,399,,,,,,
JEFTWP-D,523,126,,,,,,
JNLB-A,154,291,,,,,,
JNLB-B,221,490,,,,,,
KT 1-A,371,265,,,,,,
KT 1-B,259,361,,,,,,
KT 1-C,386,448,,,,,,
KT 1-D,425,378,,,,,,
KT 1-E,309,336,,,,,,
KT 1-F,290,340,,,,,,
KT 1-G,332,339,,,,,,
KT 1-H,428,441,,,,,,
KT 1-I,376,359,,,,,,
KT 2-A,374,346,,,,,,
KT 2-B,347,368,,,,,,
KT 2-C,384,368,,,,,,
KT 2-D,434,411,,,,,,
KT 2-E,346,427,,,,,,
KT 2-F,287,351,,,,,,
KT 2-G,448,550,,,,,,
KT 2-H,398,435,,,,,,
KT 2-I,305,320,,,,,,
KT 2-J,309,221,,,,,,
KT 3-A,414,377,,,,,,
KT 3-B,443,339,,,,,,
KT 3-C,335,434,,,,,,
KT 3-D,410,254,,,,,,
KT 3-E,417,390,,,,,,
KT 3-F,343,305,,,,,,
KT 3-G,328,323,,,,,,
KT 3-H,400,375,,,,,,
KT 3-I,313,344,,,,,,
KT 3-J,324,326,,,,,,
KT 3-K,460,453,,,,,,
KT 4-A,521,374,,,,,,
KT 4-B,578,319,,,,,,
KT 4-C,262,273,,,,,,
KT 4-D,439,338,,,,,,
KT 4-E,372,321,,,,,,
KT 4-F,421,328,,,,,,
KT 4-G,494,469,,,,,,
KT 4-H,310,332,,,,,,
KT 4-I,485,328,,,,,,
KT 4-J,434,293,,,,,,
KT 4-K,413,332,,,,,,
MBG 1-A,338,518,,,,,,
MBG 1-B,310,495,,,,,,
MBG 1-C,314,433,,,,,,
MBG 2-A,261,317,,,,,,
MBG 2-B,300,466,,,,,,
MBG 2-C,322,502,,,,,,
MBG 3-A,253,311,,,,,,
MBG 3-B,336,405,,,,,,
MBG 3-C,304,349,,,,,,
MBG 3-D,296,515,,,,,,
MBG 4-A,259,452,,,,,,
MBG 4-B,241,389,,,,,,
MBG 4-C,234,339,,,,,,
MBG 4-D,416,638,,,,,,
MIATWP-A,345,420,,,,,,
MIATWP-B,330,340,,,,,,
MIATWP-C,247,553,,,,,,
MIATWP-D,342,339,,,,,,
MIATWP-E,389,550,,,,,,
MIATWP-F,388,329,,,,,,
MIATWP-G,321,330,,,,,,
MIATWP-H,308,362,,,,,,
MIATWP-I,213,191,,,,,,
MIATWP-J,192,473,,,,,,
MIATWP-K,377,509,,,,,,
MIATWP-L,260,322,,,,,,
MIATWP-M,326,336,,,,,,
MIATWP-N,364,420,,,,,,
MIATWP-O,331,386,,,,,,
MIATWP-P,258,237,,,,,,
MIATWP-Q,420,342,,,,,,
MIATWP-R,201,199,,,,,,
MIATWP-S,267,444,,,,,,
MIATWP-T,275,313,,,,,,
MIATWP-U,308,263,,,,,,
MIATWP-V,315,385,,,,,,
MOR 1-A,190,247,,,,,,
MOR 2-A,357,442,,,,,,
MOR 3-A,219,285,,,,,,
MOR 4-A,220,215,,,,,,
MOR 4-B,218,141,,,,,,
OAK-A,519,290,,,,,,
OAK-B,469,334,,,,,,
OAK-C,454,204,,,,,,
OAK-D,429,227,,,,,,
OAK-E,477,208,,,,,,
OAK-F,579,268,,,,,,
OAK-G,444,280,,,,,,
OAK-H,323,265,,,,,,
PERTWP-A,135,436,,,,,,
PERTWP-B,175,440,,,,,,
PERTWP-C,215,517,,,,,,
PHBG,82,149,,,,,,
PM,234,267,,,,,,
PNLB,187,318,,,,,,
RV-A,276,373,,,,,,
RV-B,196,329,,,,,,
RV-C,336,335,,,,,,
RV-D,258,422,,,,,,
RV-E,222,353,,,,,,
RV-F,271,291,,,,,,
RV-G,211,288,,,,,,
RV-H,168,167,,,,,,
RV-I,199,312,,,,,,
RV-J,202,283,,,,,,
RV-K,318,347,,,,,,
RV-L,157,237,,,,,,
RV-M,318,363,,,,,,
RV-N,212,268,,,,,,
RV-O,314,370,,,,,,
RV-P,333,399,,,,,,
TR 1-A,483,213,,,,,,
TR 1-B,257,126,,,,,,
