precinct_code,DEM P. Donnelly Michael,REP Shanahan Megan E.,Total Votes Cast,Overvotes,Undervotes,Contest Total,REP Joseph Deters T.,DEM J. Stewart Melody
BRK-A,242,590,863,0,60,923,606,257
BRK-B,172,467,665,0,34,699,484,181
BRK-C,204,627,845,0,66,911,650,195
BRK-D,157,560,720,0,64,784,556,164
BTLTWP-A,227,547,785,0,44,829,550,235
BTLTWP-B,225,452,694,0,33,727,461,233
BTLTWP-C,288,574,879,0,46,925,590,289
BTLTWP-D,309,487,817,0,44,861,503,314
BTLTWP-E,210,350,577,0,20,597,372,205
BTLTWP-F,223,412,657,0,30,687,420,237
BTLTWP-G,207,263,484,0,37,521,267,217
CLATWP-A,119,431,569,0,28,597,442,127
CLATWP-B,118,459,585,0,35,620,474,111
CLATWP-C,150,701,875,0,56,931,725,150
CTN 1-A,150,408,576,0,32,608,428,148
CTN 1-B,338,297,664,0,29,693,314,350
CTN 1-C,349,508,877,0,64,941,518,359
CTN 1-D,317,240,578,0,21,599,231,347
CTN 2-A,304,293,610,0,45,655,304,306
CTN 2-B,451,345,822,0,36,858,359,463
CTN 2-C,516,305,850,0,47,897,329,521
CTN 3-A,448,342,806,0,57,863,353,453
CTN 3-B,430,343,789,0,39,828,361,428
CTN 3-C,425,267,710,2,26,738,260,450
CV-A,343,253,602,1,35,638,254,348
CV-B,378,436,834,0,47,881,449,385
CV-C,209,309,532,0,33,565,314,218
CV-D,287,290,596,0,53,649,296,300
CV-E,320,438,777,0,42,819,455,322
CV-F,386,471,874,0,62,936,482,392
CV-G,451,470,951,0,54,"1,005",500,451
CV-H,441,484,949,0,60,"1,009",491,458
CV-I,367,637,"1,033",0,58,"1,091",654,379
CV-J,340,506,865,0,50,915,506,359
CV-K,389,473,876,0,67,943,471,405
CV-L,423,544,977,0,55,"1,032",550,427
CV-M,356,436,814,0,49,863,458,356
CV-N,342,367,731,0,51,782,390,341
CV-O,462,557,"1,039",0,67,"1,106",565,474
CV-P,407,483,918,1,45,964,483,435
CV-Q,389,420,821,0,60,881,423,398
CV-R,401,413,827,0,54,881,418,409
DAY 1-A,125,60,195,0,18,213,67,128
DAY 1-B,533,174,708,0,31,739,171,537
DAY 1-C,379,103,490,0,32,522,108,382
DAY 1-D,246,72,321,0,12,333,74,247
DAY 1-E,467,137,618,0,23,641,146,472
DAY 2-A,187,203,410,0,33,443,215,195
DAY 2-B,321,147,484,0,27,511,150,334
DAY 2-C,273,215,501,0,38,539,222,279
DAY 2-D,181,159,354,0,36,390,165,189
DAY 3-A,113,121,245,0,26,271,127,118
DAY 3-B,156,184,352,0,36,388,185,167
DAY 3-C,400,434,856,0,45,901,434,422
DAY 3-D,252,190,461,0,38,499,203,258
DAY 3-E,124,124,256,0,21,277,131,125
DAY 3-F,371,300,683,0,46,729,305,378
DAY 3-G,161,259,442,0,42,484,271,171
DAY 3-H,192,248,461,0,38,499,256,205
DAY 3-I,438,327,794,0,52,846,324,470
DAY 3-J,332,314,663,0,56,719,324,339
DAY 3-K,449,393,858,0,36,894,387,471
DAY 3-L,349,406,777,0,42,819,424,353
DAY 4-A,384,90,492,0,21,513,99,393
DAY 4-B,291,77,380,0,18,398,76,304
DAY 4-C,297,82,399,0,30,429,84,315
DAY 5-A,296,26,339,0,28,367,27,312
DAY 5-B,296,49,350,0,35,385,44,306
DAY 5-C,231,39,295,0,26,321,44,251
DAY 5-D,367,29,417,0,26,443,32,385
DAY 6-A,374,20,412,0,34,446,24,388
DAY 6-B,355,30,400,0,34,434,29,371
DAY 6-C,322,20,360,0,28,388,26,334
DAY 7-A,313,24,347,0,33,380,26,321
DAY 7-B,253,26,288,0,11,299,28,260
DAY 8-A,363,276,650,0,54,704,279,371
DAY 8-B,412,229,653,0,24,677,228,425
DAY 8-C,401,241,638,0,54,692,235,403
DAY 8-D,373,250,637,0,39,676,245,392
DAY 9-A,470,340,815,0,43,858,335,480
DAY 9-B,419,305,745,0,51,796,311,434
DAY 9-C,460,340,814,0,52,866,347,467
DAY 9-D,334,277,628,1,41,670,283,345
DAY 10-A,302,251,556,0,35,591,252,304
DAY 10-B,206,243,467,0,37,504,256,211
DAY 10-C,260,190,455,0,25,480,191,264
DAY 10-D,278,286,576,0,39,615,290,286
DAY 10-E,266,223,499,0,34,533,220,279
DAY 11-A,199,151,362,0,20,382,165,197
DAY 11-B,185,202,390,0,41,431,190,200
DAY 11-C,233,163,406,0,27,433,164,242
DAY 11-D,243,295,554,0,40,594,304,250
DAY 11-E,199,231,444,0,21,465,241,203
DAY 12-A,346,281,654,1,36,691,301,353
DAY 12-B,315,113,433,0,25,458,117,316
DAY 12-C,268,226,502,0,29,531,223,279
DAY 12-D,203,156,367,0,38,405,153,214
DAY 13-A,345,26,400,0,26,426,32,368
DAY 13-B,209,18,242,0,25,267,19,223
DAY 14-A,395,64,481,0,33,514,55,426
DAY 14-B,164,16,189,0,16,205,15,174
DAY 14-C,227,31,283,0,19,302,34,249
DAY 14-D,470,34,526,0,33,559,42,484
DAY 15-A,384,34,441,0,32,473,30,411
DAY 15-B,438,24,500,1,35,536,30,470
DAY 15-C,299,19,352,0,27,379,16,336
DAY 15-D,367,26,408,0,40,448,27,381
DAY 16-A,367,38,430,1,23,454,41,389
DAY 16-B,281,27,333,0,17,350,29,304
DAY 16-C,330,34,377,0,22,399,36,341
DAY 16-D,630,54,720,1,31,752,52,668
DAY 16-E,370,27,420,0,31,451,28,392
DAY 17-A,258,65,336,0,11,347,65,271
DAY 17-B,331,82,428,0,38,466,79,349
