precinct_code,VOTE FOR 1
CV-A,
CV-B,
CV-C,
CV-D,
CV-E,
CV-F,
CV-G,
CV-H,
CV-I,
CV-J,
CV-K,
CV-L,
CV-M,
CV-N,
CV-O,
CV-P,
CV-Q,
CV-R,
DAY 14-A,6.0
DAY 14-C,2.0
JEFTWP-A,694.0
JEFTWP-B,266.0
JEFTWP-C,580.0
JEFTWP-D,285.0
KT 3-I,
WASTWP-A,
WASTWP-B,
WASTWP-C,
WASTWP-D,
WASTWP-E,
WASTWP-F,
WASTWP-G,
WASTWP-H,
WASTWP-I,
WASTWP-J,
WASTWP-K,
WASTWP-L,
WASTWP-M,
WASTWP-N,
WASTWP-O,
WASTWP-P,
WASTWP-Q,
WASTWP-R,
WASTWP-S,
WASTWP-T,
WASTWP-U,
WASTWP-V,
WASTWP-W,
WASTWP-X,
WASTWP-Y,
WASTWP-Z,
WASTWP-AA,
WASTWP-BB,
WASTWP-CC,
