precinct_code,DEM Green Dion,Plummer REP Phil,Total Votes Cast,Overvotes,Undervotes,Contest Total,DEM Arnold Bobbie,REP Creech Rodney
BRK-A,,,868.0,0.0,55.0,923.0,232.0,636.0
BRK-B,,,667.0,0.0,32.0,699.0,164.0,503.0
BRK-C,,,850.0,0.0,61.0,911.0,182.0,668.0
BRK-D,,,741.0,0.0,43.0,784.0,154.0,587.0
BTLTWP-A,188.0,617.0,,,,,,
BTLTWP-B,196.0,508.0,,,,,,
BTLTWP-C,240.0,664.0,,,,,,
BTLTWP-D,259.0,566.0,,,,,,
BTLTWP-E,159.0,428.0,,,,,,
BTLTWP-F,189.0,470.0,,,,,,
BTLTWP-G,190.0,306.0,,,,,,
CLATWP-A,,,567.0,0.0,30.0,597.0,111.0,456.0
CLATWP-B,,,589.0,0.0,31.0,620.0,103.0,486.0
CLATWP-C,,,886.0,0.0,45.0,931.0,139.0,747.0
CTN 1-A,1.0,3.0,566.0,0.0,38.0,604.0,131.0,435.0
CTN 1-B,277.0,292.0,103.0,0.0,2.0,105.0,45.0,58.0
CTN 1-C,,,864.0,0.0,77.0,941.0,341.0,523.0
CTN 1-D,307.0,279.0,,,,,,
CTN 2-A,280.0,350.0,,,,,,
CTN 2-B,405.0,426.0,,,,,,
CTN 2-C,479.0,377.0,,,,,,
CTN 3-A,417.0,410.0,,,,,,
CTN 3-B,401.0,405.0,,,,,,
CTN 3-C,402.0,316.0,,,,,,
DAY 3-B,0.0,0.0,,,,,,
ENG-A,369.0,432.0,,,,,,
ENG-B,260.0,477.0,,,,,,
ENG-C,346.0,362.0,,,,,,
ENG-D,318.0,539.0,,,,,,
ENG-E,406.0,411.0,,,,,,
ENG-F,228.0,449.0,,,,,,
ENG-G,305.0,477.0,,,,,,
ENG-H,251.0,356.0,,,,,,
ENG-I,255.0,310.0,,,,,,
ENG-J,338.0,353.0,,,,,,
FARM,,,520.0,0.0,37.0,557.0,104.0,416.0
GERTWP-A,,,928.0,0.0,49.0,977.0,156.0,772.0
GERTWP-B,,,898.0,0.0,53.0,951.0,175.0,723.0
GTN-A,,,747.0,0.0,53.0,800.0,217.0,530.0
GTN-B,,,699.0,0.0,48.0,747.0,205.0,494.0
GTN-C,,,719.0,0.0,50.0,769.0,174.0,545.0
GTN-D,,,776.0,0.0,56.0,832.0,184.0,592.0
HARTWP-A,115.0,300.0,,,,,,
HARTWP-B,140.0,370.0,,,,,,
HARTWP-C,179.0,350.0,,,,,,
HARTWP-D,473.0,292.0,,,,,,
HARTWP-E,95.0,232.0,,,,,,
HARTWP-F,242.0,69.0,,,,,,
