precinct_code,Blackshear DEM Willis Jr. E.,REP McGuire Charlotte,Total Votes Cast,Overvotes,Undervotes,Contest Total,Lounsbury DEM Rose,REP Andrea White
CV-A,327,272,,,,,,
CV-B,355,472,,,,,,
CV-C,204,329,,,,,,
CV-D,273,319,,,,,,
CV-E,302,481,,,,,,
CV-F,360,514,,,,,,
CV-G,411,524,,,,,,
CV-H,400,549,,,,,,
CV-I,363,677,,,,,,
CV-J,316,551,,,,,,
CV-K,356,518,,,,,,
CV-L,393,577,,,,,,
CV-M,319,499,,,,,,
CV-N,309,420,,,,,,
CV-O,439,587,,,,,,
CV-P,387,515,,,,,,
CV-Q,365,451,,,,,,
CV-R,378,446,,,,,,
DAY 1-A,123,68,,,,,,
DAY 1-B,518,185,703,0,36,739,518,185
DAY 1-C,384,120,360,0,25,385,269,91
DAY 1-D,245,79,,,,,,
DAY 1-E,466,150,,,,,,
DAY 2-A,180,227,411,0,32,443,193,218
DAY 2-B,326,159,490,0,21,511,329,161
DAY 2-C,272,226,491,0,48,539,273,218
DAY 2-D,170,191,360,0,30,390,180,180
DAY 3-A,111,138,,,,,,
DAY 3-B,163,191,,,,,,
DAY 3-C,394,455,850,0,51,901,404,446
DAY 3-D,244,220,,,,,,
DAY 3-E,120,133,253,0,24,277,117,136
DAY 3-F,366,322,,,,,,
DAY 3-G,152,297,,,,,,
DAY 3-H,183,278,461,0,38,499,186,275
DAY 3-I,432,356,790,0,56,846,442,348
DAY 3-J,332,339,669,0,50,719,338,331
DAY 3-K,442,410,851,0,43,894,442,409
DAY 3-L,332,450,774,0,45,819,348,426
DAY 4-A,377,120,,,,,,
DAY 4-B,291,91,,,,,,
DAY 4-C,296,107,,,,,,
DAY 5-A,305,38,,,,,,
DAY 5-B,302,64,,,,,,
DAY 5-C,249,50,,,,,,
DAY 5-D,369,59,,,,,,
DAY 6-A,383,36,,,,,,
DAY 6-B,373,41,,,,,,
DAY 6-C,348,31,,,,,,
DAY 7-A,328,33,,,,,,
DAY 7-B,260,31,,,,,,
DAY 8-A,349,305,,,,,,
DAY 8-B,409,242,,,,,,
DAY 8-C,396,256,,,,,,
DAY 8-D,367,267,,,,,,
DAY 9-A,456,362,,,,,,
DAY 9-B,419,334,,,,,,
DAY 9-C,450,369,,,,,,
DAY 9-D,320,311,,,,,,
DAY 10-A,290,267,,,,,,
DAY 10-B,208,259,472,0,32,504,207,265
DAY 10-C,246,206,,,,,,
DAY 10-D,261,314,,,,,,
DAY 10-E,246,255,,,,,,
DAY 11-A,197,169,365,0,17,382,195,170
DAY 11-B,179,218,403,0,28,431,198,205
DAY 11-C,228,182,408,0,25,433,239,169
DAY 11-D,233,322,559,0,35,594,242,317
DAY 11-E,194,250,442,0,23,465,196,246
DAY 12-A,344,303,,,,,,
DAY 12-B,320,115,432,0,26,458,311,121
DAY 12-C,253,254,,,,,,
DAY 12-D,206,165,,,,,,
DAY 13-A,367,39,,,,,,
DAY 13-B,225,25,,,,,,
DAY 14-A,411,79,,,,,,
DAY 14-B,167,27,,,,,,
DAY 14-C,249,39,,,,,,
DAY 14-D,483,59,,,,,,
DAY 15-A,393,54,,,,,,
DAY 15-B,462,51,,,,,,
DAY 15-C,330,30,,,,,,
DAY 15-D,362,53,,,,,,
DAY 16-A,384,50,,,,,,
DAY 16-B,298,33,,,,,,
DAY 16-C,336,50,,,,,,
DAY 16-D,641,92,,,,,,
DAY 16-E,390,47,,,,,,
DAY 17-A,266,72,,,,,,
DAY 17-B,333,101,,,,,,
DAY 17-C,404,67,,,,,,
