precinct_code,Voters Registered - Total,Ballots Cast Total -,Ballots Blank Cast -,Voter Turnout Total -
BRK-A,1178,923,5,0.7835
BRK-B,992,699,1,0.7045999999999999
BRK-C,1134,911,2,0.8034
BRK-D,984,784,1,0.7967
BTLTWP-A,1006,829,5,0.8240999999999999
BTLTWP-B,978,727,7,0.7434000000000001
BTLTWP-C,1098,925,2,0.8423999999999999
BTLTWP-D,1033,861,6,0.8334999999999999
BTLTWP-E,702,597,0,0.8504
BTLTWP-F,811,687,4,0.8471
BTLTWP-G,772,521,0,0.6748999999999999
CLATWP-A,708,597,0,0.8432
CLATWP-B,791,620,2,0.7837999999999999
CLATWP-C,1194,931,8,0.7797
CTN 1-A,735,608,1,0.8271999999999999
CTN 1-B,883,693,1,0.7848
CTN 1-C,1135,941,6,0.8291
CTN 1-D,795,599,1,0.7535
CTN 2-A,830,655,2,0.7892
CTN 2-B,1123,858,0,0.764
CTN 2-C,1153,897,2,0.778
CTN 3-A,1082,863,2,0.7976000000000001
CTN 3-B,1109,828,4,0.7465999999999999
CTN 3-C,1147,738,2,0.6434000000000001
CV-A,1049,638,4,0.6082
CV-B,1104,881,3,0.7979999999999999
CV-C,678,565,2,0.8332999999999999
CV-D,937,649,6,0.6926000000000001
CV-E,1013,819,1,0.8085
CV-F,1133,936,5,0.8261
CV-G,1248,1005,4,0.8053
CV-H,1192,1009,4,0.8465
CV-I,1263,1091,6,0.8637999999999999
CV-J,1086,915,2,0.8425
CV-K,1129,943,2,0.8353
CV-L,1216,1032,3,0.8487
CV-M,1076,863,6,0.802
CV-N,1068,782,11,0.7322
CV-O,1350,1106,5,0.8193
CV-P,1215,964,1,0.7934
CV-Q,1139,881,5,0.7735
CV-R,1175,881,7,0.7498
DAY 1-A,1427,213,5,0.1493
DAY 1-B,1122,739,3,0.6586
DAY 1-C,1186,522,8,0.4401
DAY 1-D,870,333,1,0.38280000000000003
DAY 1-E,933,641,3,0.687
DAY 2-A,963,443,2,0.46
DAY 2-B,789,511,2,0.6476999999999999
DAY 2-C,985,539,4,0.5472
DAY 2-D,964,390,2,0.4046
DAY 3-A,653,271,5,0.415
DAY 3-B,602,388,2,0.6445000000000001
DAY 3-C,1142,901,1,0.789
DAY 3-D,914,499,2,0.546
DAY 3-E,618,277,2,0.4482
DAY 3-F,1020,729,6,0.7147
DAY 3-G,922,484,4,0.5249
DAY 3-H,947,499,3,0.5268999999999999
DAY 3-I,1156,846,6,0.7318000000000001
DAY 3-J,1189,719,4,0.6047
DAY 3-K,1217,894,7,0.7345999999999999
DAY 3-L,1066,819,3,0.7683
DAY 4-A,996,513,1,0.5151
DAY 4-B,951,398,3,0.41850000000000004
DAY 4-C,859,429,1,0.49939999999999996
DAY 5-A,800,367,3,0.4587
DAY 5-B,784,385,4,0.4911
DAY 5-C,720,321,5,0.4458
DAY 5-D,998,443,3,0.4439
DAY 6-A,961,446,3,0.46409999999999996
DAY 6-B,934,434,2,0.4647
DAY 6-C,904,388,0,0.4292
DAY 7-A,863,380,4,0.4403
DAY 7-B,501,299,3,0.5968
DAY 8-A,1078,704,5,0.6531
DAY 8-B,1125,677,3,0.6018
DAY 8-C,1122,692,0,0.6168
DAY 8-D,1174,676,4,0.5758
DAY 9-A,1061,858,2,0.8087000000000001
DAY 9-B,1126,796,5,0.7069
DAY 9-C,1150,866,2,0.753
DAY 9-D,1070,670,6,0.6262
DAY 10-A,866,591,4,0.6823999999999999
DAY 10-B,729,504,5,0.6914
DAY 10-C,720,480,1,0.6667000000000001
DAY 10-D,882,615,5,0.6973
DAY 10-E,814,533,2,0.6548
DAY 11-A,621,382,1,0.6151
DAY 11-B,982,431,4,0.4389
DAY 11-C,864,433,2,0.5012
DAY 11-D,1006,594,7,0.5905
DAY 11-E,770,465,3,0.6039
DAY 12-A,1082,691,5,0.6386
DAY 12-B,760,458,5,0.6026
DAY 12-C,1040,531,4,0.5106
DAY 12-D,953,405,3,0.425
DAY 13-A,767,426,5,0.5554
DAY 13-B,770,267,2,0.3468
DAY 14-A,912,514,6,0.5636
DAY 14-B,601,205,2,0.3411
DAY 14-C,914,302,2,0.33039999999999997
DAY 14-D,1199,559,9,0.46619999999999995
DAY 15-A,889,473,4,0.5321
DAY 15-B,1088,536,10,0.4926
DAY 15-C,724,379,1,0.5235
DAY 15-D,813,448,6,0.551
DAY 16-A,845,454,1,0.5373
DAY 16-B,776,350,0,0.451
DAY 16-C,873,399,2,0.457
DAY 16-D,1202,752,1,0.6256
DAY 16-E,770,451,5,0.5857
DAY 17-A,734,347,3,0.4728
DAY 17-B,1112,466,3,0.4191
DAY 17-C,1123,495,1,0.44079999999999997
DAY 17-D,821,313,2,0.3812
DAY 18-A,699,337,3,0.48210000000000003
DAY 18-B,887,571,7,0.6437
DAY 18-C,966,415,5,0.4296
DAY 18-D,866,407,2,0.47
DAY 19-A,606,202,1,0.3333
DAY 19-B,1055,493,4,0.4673
DAY 19-C,783,392,2,0.5006
DAY 20-A,1113,813,4,0.7304999999999999
DAY 20-B,1246,874,9,0.7014
DAY 20-C,832,573,3,0.6887000000000001
DAY 20-D,856,620,3,0.7243
DAY 21-A,898,374,2,0.4165
DAY 21-B,1014,372,4,0.3669
DAY 21-C,937,573,2,0.6114999999999999
DAY 22-A,1289,720,1,0.5586
DAY 22-B,823,556,1,0.6756
DAY 22-C,1423,812,0,0.5706
DAY 23-A,875,556,3,0.6354
ENG-A,1009,833,1,0.8256
ENG-B,1028,775,6,0.7539
ENG-C,1069,737,1,0.6894
ENG-D,1218,885,4,0.7265999999999999
ENG-E,1097,852,4,0.7767000000000001
ENG-F,901,698,2,0.7746999999999999
ENG-G,976,817,0,0.8371
ENG-H,785,629,5,0.8012999999999999
ENG-I,746,586,4,0.7855
ENG-J,942,715,3,0.759
FARM,695,557,2,0.8014
GERTWP-A,1151,977,2,0.8488
GERTWP-B,1156,951,3,0.8227
GTN-A,1061,800,8,0.754
GTN-B,1023,747,0,0.7302
GTN-C,985,769,1,0.7807
GTN-D,1075,832,4,0.774
HARTWP-A,756,433,5,0.5728
HARTWP-B,903,540,3,0.598
HARTWP-C,1314,565,3,0.43
HARTWP-D,1119,798,3,0.7131000000000001
HARTWP-E,583,343,6,0.5882999999999999
HARTWP-F,571,321,1,0.5622
HARTWP-G,936,545,2,0.5822999999999999
HARTWP-H,1148,582,1,0.507
HARTWP-I,1021,546,3,0.5347999999999999
HARTWP-J,909,535,2,0.5886
HARTWP-K,1187,531,7,0.4473
HARTWP-L,1022,762,1,0.7456
HARTWP-M,1138,854,3,0.7504000000000001
HARTWP-N,830,505,2,0.6084
HARTWP-O,1170,745,10,0.6368
HUB 1-A,1099,816,6,0.7425
HUB 1-B,1302,971,4,0.7458
