Precinct,FOR THE LEVY TAX,AGAINST TAX LEVY THE,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,194,130,324,0,40,364
CV-B,306,307,613,0,36,649
CV-C,167,220,387,0,28,415
CV-D,146,221,367,0,18,385
CV-E,249,319,568,0,30,598
CV-F,285,386,671,0,31,702
CV-G,296,394,690,0,37,727
CV-H,367,354,721,0,52,773
CV-I,285,468,753,0,48,801
CV-J,247,409,656,0,30,686
CV-K,259,405,664,0,51,715
CV-L,290,443,733,0,33,766
CV-M,215,380,595,0,51,646
CV-N,320,175,495,0,55,550
CV-O,293,490,783,0,26,809
CV-P,247,384,631,0,48,679
CV-Q,272,279,551,0,38,589
CV-R,257,290,547,0,38,585
KT 3-I,0,0,0,0,0,0
WASTWP-A,258,309,567,0,30,597
WASTWP-B,308,411,719,0,24,743
WASTWP-C,253,409,662,0,23,685
WASTWP-D,211,273,484,0,24,508
WASTWP-E,294,406,700,0,25,725
WASTWP-F,175,242,417,0,21,438
WASTWP-G,335,384,719,0,34,753
WASTWP-H,271,349,620,0,14,634
WASTWP-I,211,206,417,0,32,449
WASTWP-J,232,301,533,0,41,574
WASTWP-K,228,317,545,0,23,568
WASTWP-L,214,242,456,0,43,499
WASTWP-M,227,423,650,0,40,690
WASTWP-N,278,259,537,0,31,568
WASTWP-O,169,364,533,0,26,559
WASTWP-P,273,361,634,0,20,654
WASTWP-Q,258,336,594,0,44,638
WASTWP-R,207,270,477,0,23,500
WASTWP-S,178,325,503,0,28,531
WASTWP-T,253,259,512,0,26,538
WASTWP-U,260,373,633,0,34,667
WASTWP-V,247,349,596,0,21,617
WASTWP-W,170,197,367,0,23,390
WASTWP-X,229,271,500,0,26,526
WASTWP-Y,303,363,666,0,27,693
WASTWP-Z,247,331,578,0,20,598
WASTWP-AA,246,349,595,0,27,622
WASTWP-BB,192,211,403,0,13,416
WASTWP-CC,334,398,732,0,29,761
