Precinct,FOR THE LEVY TAX,AGAINST TAX LEVY THE,Total Votes Cast,Overvotes,Undervotes,Contest Total
CLATWP-A,114,315,429,0,5,434
CLATWP-B,27,33,60,0,2,62
CLATWP-C,31,123,154,0,4,158
CTN 1-A,151,334,485,0,12,497
CTN 1-B,211,287,498,0,15,513
CTN 1-C,287,346,633,0,19,652
CTN 1-D,175,194,369,0,8,377
CTN 2-A,227,212,439,0,23,462
CTN 2-B,287,306,593,0,15,608
CTN 2-C,271,285,556,0,26,582
CTN 3-A,302,336,638,0,20,658
CTN 3-B,267,291,558,0,25,583
CTN 3-C,213,250,463,0,29,492
ENG-A,351,250,601,0,14,615
ENG-B,254,278,532,0,12,544
ENG-C,237,208,445,0,7,452
ENG-D,288,320,608,0,16,624
ENG-E,298,290,588,0,17,605
ENG-F,243,270,513,0,11,524
ENG-G,314,271,585,0,6,591
ENG-H,186,259,445,0,11,456
ENG-I,217,173,390,0,18,408
ENG-J,259,212,471,0,14,485
PHBG,44,129,173,0,5,178
TR 1-B,20,24,44,0,1,45
UN-A,99,197,296,0,9,305
UN-B,182,313,495,0,7,502
UN-C,160,190,350,0,10,360
UN-D,259,323,582,0,8,590
UN-E,200,338,538,0,15,553
