Precinct,FOR THE LEVY TAX,AGAINST TAX LEVY THE,Total Votes Cast,Overvotes,Undervotes,Contest Total
BTLTWP-A,202,356,558,0,16,574
BTLTWP-B,205,325,530,0,17,547
BTLTWP-C,273,378,651,0,19,670
BTLTWP-D,241,365,606,0,20,626
BTLTWP-E,208,245,453,0,11,464
BTLTWP-F,257,262,519,0,10,529
BTLTWP-G,155,159,314,0,8,322
DAY 3-B,25,37,62,0,3,65
HUB 1-D,0,0,0,0,0,0
UN-C,75,80,155,0,5,160
VD-A,182,252,434,0,10,444
VD-B,124,164,288,0,7,295
VD-C,234,303,537,0,17,554
VD-D,265,219,484,0,16,500
VD-E,189,172,361,0,14,375
VD-F,262,333,595,0,53,648
VD-G,270,224,494,0,11,505
VD-H,312,340,652,0,15,667
VD-I,245,268,513,0,13,526
VD-J,285,346,631,0,29,660
VD-K,277,292,569,0,20,589
