Precinct,FOR THE LEVY TAX,AGAINST TAX LEVY THE,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,225,98,323,0,41,364
CV-B,386,240,626,0,23,649
CV-C,220,180,400,0,15,415
CV-D,205,168,373,0,12,385
CV-E,346,231,577,0,21,598
CV-F,376,309,685,0,17,702
CV-G,396,300,696,0,31,727
CV-H,446,291,737,0,36,773
CV-I,401,368,769,0,32,801
CV-J,350,323,673,0,13,686
CV-K,362,326,688,0,27,715
CV-L,398,348,746,0,20,766
CV-M,301,318,619,0,27,646
CV-N,392,122,514,0,36,550
CV-O,414,376,790,0,19,809
CV-P,341,313,654,0,25,679
CV-Q,380,185,565,0,24,589
CV-R,324,233,557,0,28,585
WASTWP-A,350,230,580,0,17,597
WASTWP-B,421,305,726,0,17,743
WASTWP-C,384,288,672,0,13,685
WASTWP-D,284,211,495,0,13,508
WASTWP-E,418,298,716,0,9,725
WASTWP-F,239,190,429,0,9,438
WASTWP-G,494,235,729,0,24,753
WASTWP-H,356,272,628,0,6,634
WASTWP-I,273,156,429,0,20,449
WASTWP-J,340,214,554,0,20,574
WASTWP-K,339,216,555,0,13,568
WASTWP-L,291,179,470,0,29,499
WASTWP-M,329,338,667,0,23,690
WASTWP-N,359,186,545,0,23,568
WASTWP-O,254,287,541,0,18,559
WASTWP-P,356,289,645,0,9,654
WASTWP-Q,348,260,608,0,30,638
WASTWP-R,281,205,486,0,14,500
WASTWP-S,261,257,518,0,13,531
WASTWP-T,335,186,521,0,17,538
WASTWP-U,364,292,656,0,11,667
WASTWP-V,342,262,604,0,13,617
WASTWP-W,224,148,372,0,18,390
WASTWP-X,307,203,510,0,16,526
WASTWP-Y,400,277,677,0,16,693
WASTWP-Z,361,227,588,0,10,598
WASTWP-AA,332,277,609,0,13,622
WASTWP-BB,256,150,406,0,10,416
WASTWP-CC,446,299,745,0,16,761
