Precinct,INCOME FOR TAX THE,AGAINST INCOME TAX THE,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,303,172,475,0,11,486
HUB 1-B,488,193,681,0,16,697
HUB 1-C,256,133,389,0,16,405
HUB 1-D,413,165,578,0,16,594
HUB 2-A,354,181,535,0,20,555
HUB 2-B,413,171,584,0,22,606
HUB 3-A,287,108,395,0,12,407
HUB 3-B,182,106,288,0,10,298
HUB 3-C,292,82,374,0,7,381
HUB 3-D,369,150,519,0,13,532
HUB 3-E,261,110,371,0,22,393
HUB 4-A,332,158,490,0,10,500
HUB 4-B,332,152,484,0,16,500
HUB 4-C,340,129,469,0,16,485
HUB 4-D,334,135,469,0,22,491
HUB 5-A,291,135,426,0,12,438
HUB 5-B,295,125,420,0,14,434
HUB 5-C,294,165,459,0,20,479
HUB 5-D,309,126,435,0,5,440
HUB 6-A,274,140,414,0,10,424
HUB 6-B,385,221,606,0,11,617
HUB 6-C,370,163,533,0,24,557
HUB 6-D,332,142,474,0,9,483
