Precinct,Mark A. Engert,Belinda Kenley,Lunsford Louis T.,McLaughlin Meineke Jennifer,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,124,132,92,133,481,0,611,1092
CV-B,302,285,236,269,1092,0,855,1947
CV-C,183,172,180,154,689,0,556,1245
CV-D,168,171,129,166,634,0,521,1155
CV-E,299,281,184,267,1031,0,763,1794
CV-F,311,325,252,315,1203,0,903,2106
CV-G,297,347,232,323,1199,0,982,2181
CV-H,345,414,297,362,1418,0,901,2319
CV-I,392,412,298,367,1469,0,934,2403
CV-J,299,337,256,316,1208,0,850,2058
CV-K,283,309,230,286,1108,0,1037,2145
CV-L,377,361,285,349,1372,0,926,2298
CV-M,270,302,216,262,1050,0,888,1938
CV-N,244,294,215,221,974,0,676,1650
CV-O,359,409,279,320,1367,0,1060,2427
CV-P,284,311,215,268,1078,0,959,2037
CV-Q,280,246,178,258,962,0,805,1767
CV-R,223,264,206,239,932,0,823,1755
