Precinct,Compton Brooks A.,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,239,239,0,125,364
CV-B,471,471,0,178,649
CV-C,296,296,0,119,415
CV-D,275,275,0,110,385
CV-E,421,421,0,177,598
CV-F,493,493,0,209,702
CV-G,498,498,0,229,727
CV-H,552,552,0,221,773
CV-I,603,603,0,198,801
CV-J,492,492,0,194,686
CV-K,499,499,0,216,715
CV-L,554,554,0,212,766
CV-M,447,447,0,199,646
CV-N,394,394,0,156,550
CV-O,615,615,0,194,809
CV-P,470,470,0,209,679
CV-Q,415,415,0,174,589
CV-R,401,401,0,184,585
