Precinct,David Cobb,Durnbaugh Allison,Amanda Hurst Graf-,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,118,118,109,345,0,383,728
CV-B,241,307,272,820,0,478,1298
CV-C,134,187,161,482,0,348,830
CV-D,137,170,145,452,0,318,770
CV-E,185,289,225,699,0,497,1196
CV-F,214,319,299,832,0,572,1404
CV-G,221,328,272,821,0,633,1454
CV-H,262,388,369,1019,0,527,1546
CV-I,300,382,344,1026,0,576,1602
CV-J,196,347,314,857,0,515,1372
CV-K,213,356,295,864,0,566,1430
CV-L,287,366,347,1000,0,532,1532
CV-M,213,291,247,751,0,541,1292
CV-N,162,259,234,655,0,445,1100
CV-O,243,394,388,1025,0,593,1618
CV-P,232,363,273,868,0,490,1358
CV-Q,181,276,239,696,0,482,1178
CV-R,178,260,248,686,0,484,1170
KT 3-I,0,0,0,0,0,0,0
WASTWP-A,151,271,247,669,0,525,1194
WASTWP-B,198,343,318,859,0,627,1486
WASTWP-C,221,305,305,831,0,539,1370
WASTWP-D,157,218,218,593,0,423,1016
WASTWP-E,194,321,324,839,0,611,1450
WASTWP-F,156,172,168,496,0,380,876
WASTWP-G,208,356,307,871,0,635,1506
WASTWP-H,190,305,279,774,0,494,1268
WASTWP-I,129,175,178,482,0,416,898
WASTWP-J,143,252,206,601,0,547,1148
WASTWP-K,162,234,269,665,0,471,1136
WASTWP-L,128,174,166,468,0,530,998
WASTWP-M,176,309,279,764,0,616,1380
WASTWP-N,161,221,243,625,0,511,1136
WASTWP-O,153,231,229,613,0,505,1118
WASTWP-P,157,312,281,750,0,558,1308
WASTWP-Q,186,239,218,643,0,633,1276
WASTWP-R,138,251,202,591,0,409,1000
WASTWP-S,174,232,214,620,0,442,1062
WASTWP-T,150,218,209,577,0,499,1076
WASTWP-U,198,319,269,786,0,548,1334
WASTWP-V,154,307,277,738,0,496,1234
WASTWP-W,109,145,161,415,0,365,780
WASTWP-X,155,235,214,604,0,448,1052
WASTWP-Y,163,330,324,817,0,569,1386
WASTWP-Z,176,289,271,736,0,460,1196
WASTWP-AA,149,286,258,693,0,551,1244
WASTWP-BB,115,194,177,486,0,346,832
WASTWP-CC,209,357,286,852,0,670,1522
