Precinct,Bedinger Marcus,Duncan Valerie,Matt Joseph,Chris Shaw,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-A,23,35,87,60,205,0,79,284
DAY 1-B,132,171,199,184,686,0,310,996
DAY 1-C,73,94,153,147,467,0,173,640
DAY 1-D,91,98,61,59,309,0,157,466
DAY 1-E,160,208,133,107,608,0,388,996
DAY 2-A,40,89,94,75,298,0,182,480
DAY 2-B,95,134,145,113,487,0,239,726
DAY 2-C,52,104,125,97,378,0,234,612
DAY 2-D,34,59,77,52,222,0,138,360
DAY 3-A,16,47,64,45,172,0,116,288
DAY 3-B,29,62,88,65,244,0,176,420
DAY 3-C,88,171,262,242,763,0,403,1166
DAY 3-D,54,96,112,105,367,0,213,580
DAY 3-E,36,59,68,57,220,0,106,326
DAY 3-F,88,147,264,214,713,0,289,1002
DAY 3-G,33,79,109,88,309,0,185,494
DAY 3-H,48,72,114,91,325,0,191,516
DAY 3-I,72,182,217,208,679,0,407,1086
DAY 3-J,64,117,184,159,524,0,294,818
DAY 3-K,100,181,248,222,751,0,437,1188
DAY 3-L,94,151,250,202,697,0,417,1114
DAY 4-A,76,92,166,160,494,0,142,636
DAY 4-B,70,77,109,90,346,0,126,472
DAY 4-C,80,77,146,127,430,0,132,562
DAY 5-A,49,78,97,107,331,0,97,428
DAY 5-B,31,76,132,135,374,0,114,488
DAY 5-C,65,58,75,67,265,0,83,348
DAY 5-D,83,75,96,109,363,0,99,462
DAY 6-A,38,54,160,168,420,0,112,532
DAY 6-B,33,47,152,154,386,0,94,480
DAY 6-C,42,50,109,125,326,0,82,408
DAY 7-A,36,47,101,123,307,0,103,410
DAY 7-B,54,58,110,123,345,0,71,416
DAY 8-A,80,147,171,153,551,0,319,870
DAY 8-B,82,154,170,127,533,0,351,884
DAY 8-C,95,141,207,171,614,0,284,898
DAY 8-D,86,155,136,112,489,0,331,820
DAY 9-A,108,209,310,225,852,0,402,1254
DAY 9-B,100,184,238,157,679,0,381,1060
DAY 9-C,96,164,258,241,759,0,477,1236
DAY 9-D,62,126,177,120,485,0,311,796
DAY 10-A,80,145,145,119,489,0,333,822
DAY 10-B,66,119,136,94,415,0,261,676
DAY 10-C,59,109,123,120,411,0,237,648
DAY 10-D,56,153,146,122,477,0,277,754
DAY 10-E,54,119,124,104,401,0,279,680
DAY 11-A,54,89,109,70,322,0,196,518
DAY 11-B,43,82,82,72,279,0,151,430
DAY 11-C,46,83,82,72,283,0,199,482
DAY 11-D,54,131,161,129,475,0,259,734
DAY 11-E,60,99,117,78,354,0,242,596
DAY 12-A,79,139,173,160,551,0,279,830
DAY 12-B,88,133,144,110,475,0,195,670
DAY 12-C,65,107,140,102,414,0,210,624
DAY 12-D,44,66,78,67,255,0,149,404
DAY 13-A,27,48,142,158,375,0,83,458
DAY 13-B,15,25,53,57,150,0,60,210
DAY 14-A,39,57,183,202,481,0,99,580
DAY 14-B,14,25,65,69,173,0,45,218
DAY 14-C,26,36,116,113,291,0,73,364
DAY 14-D,42,59,176,203,480,0,134,614
DAY 15-A,42,75,146,155,418,0,108,526
DAY 15-B,30,67,190,195,482,0,106,588
DAY 15-C,26,51,111,124,312,0,98,410
DAY 15-D,43,80,107,115,345,0,107,452
DAY 16-A,57,105,137,140,439,0,119,558
DAY 16-B,42,61,82,87,272,0,86,358
DAY 16-C,34,69,94,112,309,0,91,400
DAY 16-D,58,98,285,299,740,0,160,900
DAY 16-E,41,70,152,164,427,0,99,526
DAY 17-A,41,65,105,93,304,0,94,398
DAY 17-B,55,84,106,97,342,0,164,506
DAY 17-C,59,110,138,125,432,0,132,564
DAY 17-D,41,86,71,74,272,0,94,366
DAY 18-A,34,68,99,96,297,0,107,404
DAY 18-B,68,96,189,194,547,0,177,724
DAY 18-C,49,77,87,88,301,0,117,418
DAY 18-D,32,79,96,96,303,0,101,404
DAY 19-A,11,28,56,60,155,0,39,194
DAY 19-B,35,55,132,182,404,0,104,508
DAY 19-C,31,55,129,156,371,0,79,450
DAY 20-A,110,221,219,167,717,0,389,1106
DAY 20-B,123,212,237,175,747,0,381,1128
DAY 20-C,55,97,159,145,456,0,304,760
DAY 20-D,57,116,173,111,457,0,313,770
DAY 21-A,21,53,101,105,280,0,104,384
DAY 21-B,34,38,106,128,306,0,72,378
DAY 21-C,35,82,164,192,473,0,121,594
DAY 22-A,89,139,229,247,704,0,192,896
DAY 22-B,65,118,205,213,601,0,145,746
DAY 22-C,50,125,283,310,768,0,174,942
DAY 23-A,89,136,157,143,525,0,263,788
