Precinct,William Bailey,Ken Hayes,Will Smith,Eric Walker,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 1-A,42,47,53,52,194,0,232,426
DAY 1-B,153,203,196,211,763,0,731,1494
DAY 1-C,110,110,145,119,484,0,476,960
DAY 1-D,91,94,63,87,335,0,364,699
DAY 1-E,143,191,145,153,632,0,862,1494
DAY 2-A,72,83,88,89,332,0,388,720
DAY 2-B,94,139,131,132,496,0,593,1089
DAY 2-C,96,110,106,102,414,0,501,915
DAY 2-D,60,57,70,61,248,0,292,540
DAY 3-A,47,55,52,47,201,0,231,432
DAY 3-E,59,58,61,64,242,0,247,489
DAY 3-F,140,179,161,182,662,0,835,1497
DAY 3-G,46,33,43,43,165,0,168,333
DAY 3-H,71,93,81,85,330,0,444,774
DAY 3-J,22,19,19,25,85,0,125,210
DAY 4-A,130,105,141,141,517,0,437,954
DAY 4-B,104,89,115,100,408,0,300,708
DAY 4-C,93,111,107,116,427,0,416,843
DAY 5-A,104,70,107,83,364,0,278,642
DAY 5-B,103,83,107,103,396,0,336,732
DAY 5-C,68,72,80,74,294,0,228,522
DAY 5-D,102,89,118,95,404,0,289,693
DAY 6-A,128,71,126,104,429,0,351,780
DAY 6-B,110,73,114,115,412,0,308,720
DAY 6-C,126,59,86,80,351,0,261,612
DAY 7-A,90,65,107,95,357,0,258,615
DAY 7-B,100,62,155,99,416,0,208,624
DAY 8-A,137,164,151,160,612,0,693,1305
DAY 8-B,141,135,147,147,570,0,756,1326
DAY 8-C,138,154,160,164,616,0,731,1347
DAY 8-D,111,124,151,130,516,0,714,1230
DAY 9-A,210,237,206,221,874,0,1007,1881
DAY 9-B,185,185,191,188,749,0,841,1590
DAY 9-C,159,194,161,183,697,0,1157,1854
DAY 9-D,132,120,132,133,517,0,677,1194
DAY 10-A,116,136,139,120,511,0,722,1233
DAY 10-B,81,183,83,90,437,0,577,1014
DAY 10-C,106,125,115,101,447,0,525,972
DAY 10-D,115,187,91,115,508,0,623,1131
DAY 10-E,109,107,110,101,427,0,593,1020
DAY 11-A,99,86,83,80,348,0,429,777
DAY 11-B,77,82,90,73,322,0,323,645
DAY 11-C,78,78,85,83,324,0,354,678
DAY 11-D,137,119,121,145,522,0,579,1101
DAY 11-E,99,92,85,92,368,0,526,894
DAY 12-A,143,179,131,154,607,0,638,1245
DAY 12-B,108,125,132,134,499,0,506,1005
DAY 12-C,111,105,101,119,436,0,500,936
DAY 12-D,72,61,65,82,280,0,326,606
DAY 13-A,95,66,127,87,375,0,312,687
DAY 13-B,41,24,57,42,164,0,151,315
DAY 14-A,92,57,88,83,320,0,226,546
DAY 14-B,57,27,54,41,179,0,148,327
DAY 14-C,66,41,74,56,237,0,192,429
DAY 14-D,150,86,156,132,524,0,397,921
DAY 15-A,162,64,108,129,463,0,326,789
DAY 15-B,206,97,139,111,553,0,329,882
DAY 15-C,105,51,93,74,323,0,292,615
DAY 15-D,61,33,51,40,185,0,109,294
DAY 16-A,137,104,120,141,502,0,335,837
DAY 16-B,84,59,83,75,301,0,236,537
DAY 16-C,91,58,132,80,361,0,239,600
DAY 16-D,269,128,220,182,799,0,551,1350
DAY 16-E,149,68,122,128,467,0,322,789
DAY 17-A,92,67,97,76,332,0,265,597
DAY 17-B,88,85,104,89,366,0,393,759
DAY 17-C,128,88,160,117,493,0,353,846
DAY 17-D,86,63,78,91,318,0,231,549
DAY 18-A,99,69,98,72,338,0,268,606
DAY 18-B,148,138,173,158,617,0,469,1086
DAY 18-C,81,76,96,73,326,0,301,627
DAY 18-D,88,74,84,85,331,0,275,606
DAY 19-A,59,31,46,51,187,0,104,291
DAY 19-B,117,103,132,100,452,0,310,762
DAY 19-C,127,66,97,94,384,0,291,675
DAY 20-A,170,291,162,172,795,0,864,1659
DAY 20-B,179,300,170,173,822,0,870,1692
DAY 20-C,118,127,104,142,491,0,649,1140
DAY 20-D,135,124,119,128,506,0,649,1155
DAY 21-A,95,36,101,64,296,0,280,576
DAY 21-B,89,57,129,72,347,0,220,567
DAY 21-C,150,82,191,113,536,0,355,891
DAY 22-A,231,138,267,190,826,0,518,1344
DAY 22-B,166,135,204,178,683,0,436,1119
DAY 22-C,275,159,279,183,896,0,517,1413
DAY 23-A,110,135,138,146,529,0,653,1182
HARTWP-D,234,172,201,204,811,0,803,1614
HARTWP-F,92,71,95,91,349,0,263,612
HARTWP-G,162,112,149,142,565,0,416,981
HARTWP-H,146,110,140,136,532,0,395,927
HARTWP-I,123,72,104,94,393,0,429,822
HARTWP-J,140,120,157,164,581,0,439,1020
HARTWP-K,135,74,106,97,412,0,446,858
HARTWP-L,248,197,229,236,910,0,734,1644
HARTWP-M,300,170,283,243,996,0,597,1593
HARTWP-O,216,167,199,214,796,0,623,1419
JEFTWP-B,50,27,38,42,157,0,158,315
RV-E,4,4,2,4,14,0,28,42
RV-L,51,58,56,56,221,0,259,480
RV-O,152,136,121,173,582,0,699,1281
TR 2-A,204,138,159,142,643,0,458,1101
TR 2-C,28,23,28,30,109,0,110,219
TR 2-D,41,37,33,36,147,0,156,303
TR 3-C,31,30,33,37,131,0,76,207
TR 4-C,103,67,91,84,345,0,312,657
TR 4-D,108,98,120,107,433,0,206,639
