Precinct,Craig A. Jones,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-G,0,0,0,0,0
DAY 16-C,0,0,0,0,0
DAY 18-B,3,3,0,2,5
HARTWP-A,133,133,0,93,226
HARTWP-B,166,166,0,131,297
HARTWP-C,176,176,0,113,289
HARTWP-D,321,321,0,217,538
HARTWP-E,112,112,0,77,189
HARTWP-F,139,139,0,65,204
HARTWP-G,227,227,0,100,327
HARTWP-H,205,205,0,104,309
HARTWP-I,167,167,0,107,274
HARTWP-J,225,225,0,115,340
HARTWP-K,169,169,0,117,286
HARTWP-L,374,374,0,174,548
HARTWP-M,374,374,0,157,531
HARTWP-N,182,182,0,113,295
HARTWP-O,303,303,0,170,473
