Precinct,Bradley Danielle,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 3-G,0,0,0,0,0
DAY 16-C,0,0,0,0,0
DAY 18-B,3,3,0,2,5
HARTWP-A,152,152,0,74,226
HARTWP-B,184,184,0,113,297
HARTWP-C,196,196,0,93,289
HARTWP-D,365,365,0,173,538
HARTWP-E,123,123,0,66,189
HARTWP-F,141,141,0,63,204
HARTWP-G,254,254,0,73,327
HARTWP-H,236,236,0,73,309
HARTWP-I,197,197,0,77,274
HARTWP-J,244,244,0,96,340
HARTWP-K,212,212,0,74,286
HARTWP-L,371,371,0,177,548
HARTWP-M,397,397,0,134,531
HARTWP-N,196,196,0,99,295
HARTWP-O,332,332,0,141,473
