Precinct,Fred Aikens,Write-in Totals,Write-in: D. Whitley Paul,Write-in: VALID NOT,Write-in: Assigned Not,Total Votes Cast,Overvotes,Undervotes,Contest Total
HUB 1-A,256,31,17,14,0,287,0,199,486
HUB 1-B,400,40,28,12,0,440,0,257,697
HUB 1-C,268,8,0,8,0,276,0,129,405
HUB 1-D,349,18,14,4,0,367,0,227,594
HUB 2-A,328,24,15,9,0,352,0,203,555
HUB 2-B,357,27,16,11,0,384,0,222,606
HUB 3-A,262,25,12,13,0,287,0,120,407
HUB 3-B,197,15,4,11,0,212,0,86,298
HUB 3-C,236,24,10,14,0,260,0,121,381
HUB 3-D,359,26,12,14,0,385,0,147,532
HUB 3-E,220,19,12,7,0,239,0,154,393
HUB 4-A,298,25,14,11,0,323,0,177,500
HUB 4-B,300,16,8,8,0,316,0,184,500
HUB 4-C,303,15,7,8,0,318,0,167,485
HUB 4-D,349,15,7,8,0,364,0,127,491
HUB 5-A,304,5,3,2,0,309,0,129,438
HUB 5-B,285,16,5,11,0,301,0,133,434
HUB 5-C,319,3,1,2,0,322,0,157,479
HUB 5-D,304,11,8,3,0,315,0,125,440
HUB 6-A,262,14,7,7,0,276,0,148,424
HUB 6-B,364,36,23,13,0,400,0,217,617
HUB 6-C,384,17,11,6,0,401,0,156,557
HUB 6-D,275,17,8,9,0,292,0,191,483
