Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,258,332,590,0,8,598
BRK-B,175,285,460,0,4,464
BRK-C,259,352,611,0,8,619
BRK-D,198,327,525,0,3,528
BTLTWP-A,257,314,571,0,3,574
BTLTWP-B,254,287,541,0,6,547
BTLTWP-C,321,343,664,0,6,670
BTLTWP-D,334,286,620,0,6,626
BTLTWP-E,202,256,458,0,6,464
BTLTWP-F,232,294,526,0,3,529
BTLTWP-G,174,147,321,0,1,322
CLATWP-A,143,284,427,0,7,434
CLATWP-B,146,295,441,0,2,443
CLATWP-C,210,433,643,0,3,646
CTN 1-A,183,306,489,0,8,497
CTN 1-B,307,203,510,0,4,514
CTN 1-C,331,316,647,0,5,652
CTN 1-D,280,141,421,0,0,421
CTN 2-A,277,184,461,0,1,462
CTN 2-B,371,230,601,0,7,608
CTN 2-C,425,233,658,0,5,663
CTN 3-A,417,237,654,0,4,658
CTN 3-B,366,212,578,0,5,583
CTN 3-C,325,165,490,0,2,492
CV-A,262,102,364,0,0,364
CV-B,379,266,645,0,4,649
CV-C,231,183,414,0,1,415
CV-D,221,164,385,0,0,385
CV-E,293,299,592,0,6,598
CV-F,361,336,697,0,5,702
CV-G,414,310,724,0,3,727
CV-H,353,411,764,0,9,773
CV-I,347,443,790,0,11,801
CV-J,342,336,678,0,8,686
CV-K,368,344,712,0,3,715
CV-L,422,340,762,0,4,766
CV-M,341,301,642,0,4,646
CV-N,305,240,545,0,5,550
CV-O,454,350,804,0,5,809
CV-P,374,298,672,0,7,679
CV-Q,341,245,586,0,3,589
CV-R,363,217,580,0,5,585
DAY 1-A,89,52,141,0,1,142
DAY 1-B,421,76,497,0,1,498
DAY 1-C,266,52,318,0,2,320
DAY 1-D,200,32,232,0,1,233
DAY 1-E,434,63,497,0,1,498
DAY 2-A,161,77,238,0,2,240
DAY 2-B,276,84,360,0,3,363
DAY 2-C,203,101,304,0,2,306
DAY 2-D,139,41,180,0,0,180
DAY 3-A,81,59,140,0,4,144
DAY 3-B,113,97,210,0,0,210
DAY 3-C,312,268,580,0,3,583
DAY 3-D,182,107,289,0,1,290
DAY 3-E,106,57,163,0,0,163
DAY 3-F,323,176,499,0,2,501
DAY 3-G,145,102,247,0,0,247
DAY 3-H,136,120,256,0,2,258
DAY 3-I,343,198,541,0,2,543
DAY 3-J,242,164,406,0,3,409
DAY 3-K,361,229,590,0,4,594
DAY 3-L,303,253,556,0,1,557
DAY 4-A,241,75,316,0,2,318
DAY 4-B,178,58,236,0,0,236
DAY 4-C,221,59,280,0,1,281
DAY 5-A,186,24,210,0,4,214
DAY 5-B,194,50,244,0,0,244
DAY 5-C,143,29,172,0,2,174
DAY 5-D,207,24,231,0,0,231
DAY 6-A,233,32,265,0,1,266
DAY 6-B,208,31,239,0,1,240
DAY 6-C,180,19,199,0,5,204
DAY 7-A,184,21,205,0,0,205
DAY 7-B,189,19,208,0,0,208
DAY 8-A,304,127,431,0,4,435
DAY 8-B,332,105,437,0,5,442
DAY 8-C,325,122,447,0,2,449
DAY 8-D,294,114,408,0,2,410
DAY 9-A,418,208,626,0,1,627
DAY 9-B,364,165,529,0,1,530
DAY 9-C,411,202,613,0,5,618
DAY 9-D,246,150,396,0,2,398
DAY 10-A,286,124,410,0,1,411
DAY 10-B,200,136,336,0,2,338
DAY 10-C,236,87,323,0,1,324
DAY 10-D,232,143,375,0,2,377
DAY 10-E,227,112,339,0,1,340
DAY 11-A,176,81,257,0,2,259
DAY 11-B,140,70,210,0,5,215
DAY 11-C,175,62,237,0,4,241
DAY 11-D,200,164,364,0,3,367
DAY 11-E,191,105,296,0,2,298
DAY 12-A,287,126,413,0,2,415
DAY 12-B,287,47,334,0,1,335
DAY 12-C,201,111,312,0,0,312
DAY 12-D,137,62,199,0,3,202
DAY 13-A,195,33,228,0,1,229
DAY 13-B,87,14,101,0,4,105
DAY 14-A,247,36,283,0,7,290
DAY 14-B,92,16,108,0,1,109
DAY 14-C,158,21,179,0,3,182
DAY 14-D,270,35,305,0,2,307
DAY 15-A,226,33,259,0,4,263
DAY 15-B,262,29,291,0,3,294
DAY 15-C,177,27,204,0,1,205
DAY 15-D,186,37,223,0,3,226
DAY 16-A,231,47,278,0,1,279
DAY 16-B,162,16,178,0,1,179
DAY 16-C,172,26,198,0,2,200
DAY 16-D,389,57,446,0,4,450
DAY 16-E,232,30,262,0,1,263
DAY 17-A,160,39,199,0,0,199
DAY 17-B,200,53,253,0,0,253
DAY 17-C,233,45,278,0,4,282
DAY 17-D,149,34,183,0,0,183
DAY 18-A,172,30,202,0,0,202
DAY 18-B,294,67,361,0,1,362
DAY 18-C,180,27,207,0,2,209
DAY 18-D,161,41,202,0,0,202
DAY 19-A,90,7,97,0,0,97
DAY 19-B,226,25,251,0,3,254
DAY 19-C,211,12,223,0,2,225
DAY 20-A,327,223,550,0,3,553
DAY 20-B,373,187,560,0,4,564
DAY 20-C,214,164,378,0,2,380
DAY 20-D,238,146,384,0,1,385
DAY 21-A,178,14,192,0,0,192
DAY 21-B,172,17,189,0,0,189
DAY 21-C,275,18,293,0,4,297
DAY 22-A,385,57,442,0,6,448
DAY 22-B,312,60,372,0,1,373
DAY 22-C,418,48,466,0,5,471
DAY 23-A,326,66,392,0,2,394
ENG-A,375,236,611,0,4,615
ENG-B,307,228,535,0,9,544
ENG-C,278,173,451,0,1,452
ENG-D,324,292,616,0,8,624
ENG-E,367,232,599,0,6,605
ENG-F,264,258,522,0,2,524
ENG-G,305,284,589,0,2,591
ENG-H,238,213,451,0,5,456
ENG-I,230,176,406,0,2,408
ENG-J,300,180,480,0,5,485
FARM,153,252,405,0,1,406
GERTWP-A,211,432,643,0,4,647
GERTWP-B,214,443,657,0,4,661
GTN-A,272,314,586,0,6,592
GTN-B,194,245,439,0,5,444
GTN-C,210,366,576,0,4,580
GTN-D,222,285,507,0,4,511
HARTWP-A,129,94,223,0,3,226
HARTWP-B,169,126,295,0,2,297
HARTWP-C,177,111,288,0,1,289
HARTWP-D,379,154,533,0,5,538
HARTWP-E,89,100,189,0,0,189
HARTWP-F,176,27,203,0,1,204
HARTWP-G,261,63,324,0,3,327
HARTWP-H,232,77,309,0,0,309
HARTWP-I,206,67,273,0,1,274
HARTWP-J,273,67,340,0,0,340
HARTWP-K,229,56,285,0,1,286
HARTWP-L,384,162,546,0,2,548
HARTWP-M,425,102,527,0,4,531
HARTWP-N,152,140,292,0,3,295
HARTWP-O,344,124,468,0,5,473
HUB 1-A,259,226,485,0,1,486
HUB 1-B,390,302,692,0,5,697
HUB 1-C,247,152,399,0,6,405
HUB 1-D,307,285,592,0,2,594
HUB 2-A,302,251,553,0,2,555
HUB 2-B,341,259,600,0,6,606
HUB 3-A,219,184,403,0,4,407
HUB 3-B,206,90,296,0,2,298
HUB 3-C,202,177,379,0,2,381
HUB 3-D,273,256,529,0,3,532
HUB 3-E,226,164,390,0,3,393
HUB 4-A,275,223,498,0,2,500
