Precinct,Jim Long,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,230,230,0,134,364
CV-B,392,392,0,257,649
CV-C,259,259,0,156,415
CV-D,250,250,0,135,385
CV-E,358,358,0,240,598
CV-F,423,423,0,279,702
CV-G,446,446,0,281,727
CV-H,484,484,0,289,773
CV-I,519,519,0,282,801
CV-J,427,427,0,259,686
CV-K,450,450,0,265,715
CV-L,496,496,0,270,766
CV-M,393,393,0,253,646
CV-N,353,353,0,197,550
CV-O,515,515,0,294,809
CV-P,409,409,0,270,679
CV-Q,356,356,0,233,589
CV-R,346,346,0,239,585
KT 1-A,235,235,0,199,434
KT 1-B,240,240,0,164,404
KT 1-C,351,351,0,228,579
KT 1-D,332,332,0,201,533
KT 1-E,275,275,0,163,438
KT 1-F,262,262,0,179,441
KT 1-G,291,291,0,191,482
KT 1-H,354,354,0,249,603
KT 1-I,313,313,0,169,482
KT 2-A,308,308,0,218,526
KT 2-B,334,334,0,203,537
KT 2-C,362,362,0,187,549
KT 2-D,343,343,0,203,546
KT 2-E,383,383,0,207,590
KT 2-F,273,273,0,158,431
KT 2-G,463,463,0,276,739
KT 2-H,357,357,0,249,606
KT 2-I,292,292,0,167,459
KT 2-J,211,211,0,134,345
KT 3-A,348,348,0,234,582
KT 3-B,357,357,0,236,593
KT 3-C,389,389,0,220,609
KT 3-D,288,288,0,166,454
KT 3-E,376,376,0,204,580
KT 3-F,276,276,0,181,457
KT 3-G,331,331,0,158,489
KT 3-H,337,337,0,217,554
KT 3-I,350,350,0,197,547
KT 3-J,333,333,0,204,537
KT 3-K,444,444,0,236,680
KT 4-A,412,412,0,308,720
KT 4-B,377,377,0,303,680
KT 4-C,278,278,0,141,419
KT 4-D,329,329,0,252,581
KT 4-E,315,315,0,227,542
KT 4-F,352,352,0,250,602
KT 4-G,473,473,0,333,806
KT 4-H,276,276,0,135,411
KT 4-I,379,379,0,235,614
KT 4-J,330,330,0,190,520
KT 4-K,340,340,0,255,595
MOR 1-A,152,152,0,91,243
MOR 2-A,312,312,0,205,517
MOR 3-A,180,180,0,119,299
MOR 4-A,150,150,0,113,263
MOR 4-B,118,118,0,81,199
WASTWP-A,341,341,0,256,597
WASTWP-B,431,431,0,312,743
WASTWP-C,383,383,0,302,685
WASTWP-D,306,306,0,202,508
WASTWP-E,463,463,0,262,725
WASTWP-F,243,243,0,195,438
WASTWP-G,451,451,0,302,753
WASTWP-H,354,354,0,280,634
WASTWP-I,273,273,0,176,449
WASTWP-J,334,334,0,240,574
WASTWP-K,340,340,0,228,568
WASTWP-L,284,284,0,215,499
WASTWP-M,413,413,0,277,690
WASTWP-N,364,364,0,204,568
WASTWP-O,334,334,0,225,559
WASTWP-P,394,394,0,260,654
WASTWP-Q,352,352,0,286,638
WASTWP-R,308,308,0,192,500
WASTWP-S,328,328,0,203,531
WASTWP-T,329,329,0,209,538
WASTWP-U,398,398,0,269,667
WASTWP-V,338,338,0,279,617
WASTWP-W,216,216,0,174,390
WASTWP-X,335,335,0,191,526
WASTWP-Y,425,425,0,268,693
WASTWP-Z,353,353,0,245,598
WASTWP-AA,378,378,0,244,622
WASTWP-BB,245,245,0,171,416
WASTWP-CC,420,420,0,341,761
