Precinct,Julie Denning,Newhouse Ruth,Total Votes Cast,Overvotes,Undervotes,Contest Total
DAY 2-C,0,1,1,0,1,2
DAY 2-D,0,0,0,0,0,0
DAY 3-C,69,60,129,0,115,244
DAY 3-J,13,17,30,0,20,50
DAY 3-K,260,212,472,0,542,1014
DAY 11-C,5,5,10,0,20,30
HUB 5-B,0,0,0,0,0,0
PM,120,85,205,0,197,402
RV-A,286,261,547,0,423,970
RV-B,141,115,256,0,282,538
RV-C,207,172,379,0,407,786
RV-E,162,124,286,0,334,620
RV-F,227,184,411,0,335,746
RV-G,191,160,351,0,341,692
RV-H,101,71,172,0,176,348
RV-I,153,132,285,0,313,598
RV-J,171,154,325,0,343,668
RV-L,40,40,80,0,54,134
RV-M,244,206,450,0,368,818
RV-N,155,110,265,0,249,514
RV-P,275,237,512,0,432,944
