Precinct,Clingerman Greg J.,Bob Matthews,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A,228,187,415,0,224,639
MBG 1-B,144,205,349,0,190,539
MBG 1-C,198,181,379,0,167,546
MBG 2-A,88,127,215,0,177,392
MBG 2-B,126,178,304,0,163,467
MBG 2-C,160,214,374,0,192,566
MBG 3-A,131,122,253,0,123,376
MBG 3-B,141,203,344,0,230,574
MBG 3-C,153,121,274,0,128,402
MBG 3-D,164,214,378,0,193,571
MBG 4-A,188,169,357,0,151,508
MBG 4-B,151,176,327,0,149,476
MBG 4-C,162,112,274,0,138,412
MBG 4-D,198,320,518,0,233,751
MIATWP-A,187,154,341,0,157,498
MIATWP-B,131,146,277,0,122,399
MIATWP-C,151,176,327,0,142,469
MIATWP-D,112,178,290,0,111,401
MIATWP-E,309,271,580,0,157,737
MIATWP-F,151,167,318,0,139,457
MIATWP-G,144,138,282,0,117,399
MIATWP-H,131,163,294,0,120,414
MIATWP-I,110,77,187,0,69,256
MIATWP-J,110,160,270,0,137,407
MIATWP-K,260,183,443,0,178,621
MIATWP-L,134,155,289,0,124,413
MIATWP-M,150,184,334,0,104,438
MIATWP-N,195,224,419,0,121,540
MIATWP-O,211,173,384,0,156,540
MIATWP-P,87,90,177,0,92,269
MIATWP-Q,192,130,322,0,146,468
MIATWP-R,86,84,170,0,81,251
MIATWP-S,152,164,316,0,154,470
MIATWP-T,0,0,0,0,0,0
MIATWP-U,130,135,265,0,98,363
MIATWP-V,116,155,271,0,104,375
