Precinct,Donald Culp R.,Michael Short B.,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A,327,110,437,0,202,639
MBG 1-B,226,153,379,0,160,539
MBG 1-C,292,110,402,0,144,546
MBG 2-A,136,94,230,0,162,392
MBG 2-B,229,107,336,0,131,467
MBG 2-C,260,147,407,0,159,566
MBG 3-A,198,71,269,0,107,376
MBG 3-B,270,113,383,0,191,574
MBG 3-C,213,80,293,0,109,402
MBG 3-D,290,124,414,0,157,571
MBG 4-A,266,103,369,0,139,508
MBG 4-B,251,91,342,0,134,476
MBG 4-C,235,71,306,0,106,412
MBG 4-D,383,144,527,0,224,751
MIATWP-A,281,81,362,0,136,498
MIATWP-B,197,99,296,0,103,399
MIATWP-C,237,104,341,0,128,469
MIATWP-D,178,105,283,0,118,401
MIATWP-E,510,106,616,0,121,737
MIATWP-F,198,136,334,0,123,457
MIATWP-G,213,91,304,0,95,399
MIATWP-H,217,98,315,0,99,414
MIATWP-I,136,59,195,0,61,256
MIATWP-J,180,108,288,0,119,407
MIATWP-K,338,129,467,0,154,621
MIATWP-L,235,75,310,0,103,413
MIATWP-M,241,85,326,0,112,438
MIATWP-N,378,73,451,0,89,540
MIATWP-O,305,97,402,0,138,540
MIATWP-P,102,80,182,0,87,269
MIATWP-Q,205,117,322,0,146,468
MIATWP-R,125,62,187,0,64,251
MIATWP-S,262,95,357,0,113,470
MIATWP-T,0,0,0,0,0,0
MIATWP-U,204,84,288,0,75,363
MIATWP-V,175,112,287,0,88,375
