Precinct,REP L. Michelle Collins,REP Kelli Webb L.,Total Votes Cast,Overvotes,Undervotes,Contest Total
MBG 1-A,389,173,562,0,77,639
MBG 1-B,309,177,486,0,53,539
MBG 1-C,347,153,500,0,46,546
MBG 2-A,216,120,336,0,56,392
MBG 2-B,244,173,417,0,50,467
MBG 2-C,304,200,504,0,62,566
MBG 3-A,227,90,317,0,59,376
MBG 3-B,317,173,490,0,84,574
MBG 3-C,229,104,333,0,69,402
MBG 3-D,281,220,501,0,70,571
MBG 4-A,298,163,461,0,47,508
MBG 4-B,289,139,428,0,48,476
MBG 4-C,231,127,358,0,54,412
MBG 4-D,450,215,665,0,86,751
