Precinct,Alyse Rettich,Total Votes Cast,Overvotes,Undervotes,Contest Total
GERTWP-A,437,437,0,210,647
GERTWP-B,459,459,0,202,661
GTN-A,408,408,0,184,592
GTN-B,316,316,0,128,444
GTN-C,428,428,0,152,580
GTN-D,364,364,0,147,511
MBG 1-A,383,383,0,256,639
MBG 1-B,352,352,0,187,539
MBG 1-C,378,378,0,168,546
MBG 2-A,227,227,0,165,392
MBG 2-B,312,312,0,155,467
MBG 2-C,368,368,0,198,566
MBG 3-A,256,256,0,120,376
MBG 3-B,346,346,0,228,574
MBG 3-C,249,249,0,153,402
MBG 3-D,386,386,0,185,571
MBG 4-A,312,312,0,196,508
MBG 4-B,310,310,0,166,476
MBG 4-C,255,255,0,157,412
MBG 4-D,459,459,0,292,751
MIATWP-A,303,303,0,195,498
MIATWP-B,239,239,0,160,399
MIATWP-C,290,290,0,179,469
MIATWP-D,251,251,0,150,401
MIATWP-E,472,472,0,265,737
MIATWP-F,282,282,0,175,457
MIATWP-G,250,250,0,149,399
MIATWP-H,261,261,0,153,414
MIATWP-I,167,167,0,89,256
MIATWP-J,236,236,0,171,407
MIATWP-K,369,369,0,252,621
MIATWP-L,222,222,0,191,413
MIATWP-M,276,276,0,162,438
MIATWP-N,322,322,0,218,540
MIATWP-O,308,308,0,232,540
MIATWP-P,175,175,0,94,269
MIATWP-Q,314,314,0,154,468
MIATWP-R,148,148,0,103,251
MIATWP-S,281,281,0,189,470
MIATWP-T,223,223,0,165,388
MIATWP-U,230,230,0,133,363
MIATWP-V,252,252,0,123,375
WCR-A,261,261,0,166,427
WCR-B,283,283,0,193,476
WCR-C,289,289,0,188,477
WCR-D,300,300,0,209,509
WCR-E,179,179,0,92,271
WCR-F,205,205,0,118,323
WCR-G,286,286,0,187,473
WCR-H,244,244,0,172,416
WCR-I,153,153,0,93,246
