Precinct,Daryl Michael,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,317,317,0,281,598
BRK-B,258,258,0,206,464
BRK-C,329,329,0,290,619
BRK-D,293,293,0,235,528
CLATWP-B,203,203,0,178,381
CLATWP-C,191,191,0,135,326
CTN 1-B,0,0,0,1,1
DAY 2-C,0,0,0,1,1
DAY 2-D,0,0,0,0,0
DAY 3-B,75,75,0,70,145
DAY 3-C,66,66,0,56,122
DAY 3-D,144,144,0,146,290
DAY 3-F,1,1,0,1,2
DAY 3-G,73,73,0,63,136
DAY 3-J,14,14,0,11,25
DAY 3-K,267,267,0,240,507
DAY 11-C,6,6,0,9,15
DAY 14-A,67,67,0,41,108
DAY 14-C,17,17,0,22,39
FARM,206,206,0,200,406
GERTWP-A,269,269,0,243,512
GERTWP-B,339,339,0,294,633
GTN-A,304,304,0,288,592
GTN-B,239,239,0,205,444
GTN-C,354,354,0,226,580
GTN-D,283,283,0,228,511
HARTWP-A,125,125,0,101,226
HARTWP-B,173,173,0,124,297
HARTWP-C,174,174,0,115,289
HARTWP-E,113,113,0,76,189
HARTWP-N,172,172,0,123,295
HUB 5-B,0,0,0,0,0
JAKTWP-A,392,392,0,281,673
JAKTWP-B,269,269,0,210,479
JEFTWP-A,293,293,0,272,565
JEFTWP-B,92,92,0,54,146
JEFTWP-C,228,228,0,212,440
JEFTWP-D,285,285,0,140,425
JNLB-A,181,181,0,140,321
JNLB-B,292,292,0,176,468
MIATWP-J,0,0,0,0,0
MOR 2-A,53,53,0,58,111
PERTWP-A,209,209,0,187,396
PERTWP-B,244,244,0,219,463
PERTWP-C,298,298,0,201,499
PM,129,129,0,72,201
PNLB,213,213,0,101,314
RV-A,303,303,0,182,485
RV-B,151,151,0,118,269
RV-C,247,247,0,146,393
RV-E,171,171,0,139,310
RV-F,246,246,0,127,373
RV-G,215,215,0,131,346
RV-H,110,110,0,64,174
RV-I,183,183,0,116,299
RV-J,196,196,0,138,334
RV-L,43,43,0,24,67
RV-M,269,269,0,140,409
RV-N,167,167,0,90,257
RV-P,311,311,0,161,472
TR 1-A,10,10,0,15,25
TR 3-B,56,56,0,32,88
WCR-A,5,5,0,13,18
