Precinct,Cinda Shell,Tomas Steck,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,236,277,513,0,683,1196
BRK-B,166,230,396,0,532,928
BRK-C,222,320,542,0,696,1238
BRK-D,196,263,459,0,597,1056
CLATWP-B,106,184,290,0,472,762
CLATWP-C,109,178,287,0,365,652
CTN 1-B,0,0,0,0,2,2
DAY 2-C,0,1,1,0,1,2
DAY 2-D,0,0,0,0,0,0
DAY 3-B,54,78,132,0,158,290
DAY 3-C,64,57,121,0,123,244
DAY 3-D,133,116,249,0,331,580
DAY 3-F,1,1,2,0,2,4
DAY 3-G,67,53,120,0,152,272
DAY 3-J,18,11,29,0,21,50
DAY 3-K,231,211,442,0,572,1014
DAY 11-C,8,4,12,0,18,30
DAY 14-A,63,44,107,0,109,216
DAY 14-C,14,12,26,0,52,78
FARM,203,147,350,0,462,812
GERTWP-A,237,215,452,0,572,1024
GERTWP-B,274,276,550,0,716,1266
GTN-A,257,249,506,0,678,1184
GTN-B,211,193,404,0,484,888
GTN-C,304,274,578,0,582,1160
GTN-D,245,209,454,0,568,1022
HARTWP-A,94,105,199,0,253,452
HARTWP-B,129,135,264,0,330,594
HARTWP-C,131,128,259,0,319,578
HARTWP-E,84,88,172,0,206,378
HARTWP-N,131,130,261,0,329,590
HUB 5-B,0,0,0,0,0,0
JAKTWP-A,325,306,631,0,715,1346
JAKTWP-B,228,198,426,0,532,958
JEFTWP-A,246,186,432,0,698,1130
JEFTWP-B,86,47,133,0,159,292
JEFTWP-C,184,155,339,0,541,880
JEFTWP-D,286,144,430,0,420,850
JNLB-A,137,130,267,0,375,642
JNLB-B,208,205,413,0,523,936
MIATWP-J,0,0,0,0,0,0
MOR 2-A,43,43,86,0,136,222
PERTWP-A,117,218,335,0,457,792
PERTWP-B,162,228,390,0,536,926
PERTWP-C,192,221,413,0,585,998
PM,113,84,197,0,205,402
PNLB,130,147,277,0,351,628
RV-A,261,252,513,0,457,970
RV-B,124,113,237,0,301,538
RV-C,205,170,375,0,411,786
RV-E,137,136,273,0,347,620
RV-F,200,190,390,0,356,746
RV-G,168,165,333,0,359,692
RV-H,88,76,164,0,184,348
RV-I,142,138,280,0,318,598
RV-J,167,146,313,0,355,668
RV-L,35,36,71,0,63,134
RV-M,234,212,446,0,372,818
RV-N,135,125,260,0,254,514
RV-P,249,224,473,0,471,944
TR 1-A,4,9,13,0,37,50
TR 3-B,41,45,86,0,90,176
WCR-A,3,7,10,0,26,36
