Precinct,Jeffery Blair,Karl Espeleta,Nick Orrill,Total Votes Cast,Overvotes,Undervotes,Contest Total
CLATWP-A,134,145,162,441,0,427,868
CLATWP-B,22,30,14,66,0,58,124
CLATWP-C,43,48,55,146,0,170,316
CTN 1-A,167,196,189,552,0,442,994
CTN 1-B,179,226,191,596,0,430,1026
CTN 1-C,240,261,266,767,0,537,1304
CTN 1-D,169,173,151,493,0,261,754
CTN 2-A,160,201,177,538,0,386,924
CTN 2-B,240,263,248,751,0,465,1216
CTN 2-C,266,229,201,696,0,468,1164
CTN 3-A,242,261,231,734,0,582,1316
CTN 3-B,221,219,243,683,0,483,1166
CTN 3-C,240,181,166,587,0,397,984
ENG-A,208,254,243,705,0,525,1230
ENG-B,177,195,216,588,0,500,1088
ENG-C,190,194,153,537,0,367,904
ENG-D,208,271,267,746,0,502,1248
ENG-E,232,214,239,685,0,525,1210
ENG-F,188,213,247,648,0,400,1048
ENG-G,190,269,201,660,0,522,1182
ENG-H,177,189,194,560,0,352,912
ENG-I,153,173,157,483,0,333,816
ENG-J,157,208,182,547,0,423,970
PHBG,67,66,63,196,0,160,356
TR 1-B,19,22,17,58,0,32,90
UN-A,113,110,121,344,0,266,610
UN-B,194,157,216,567,0,437,1004
UN-C,157,136,148,441,0,279,720
UN-D,205,243,239,687,0,493,1180
UN-E,209,166,210,585,0,521,1106
