Precinct,Andy R. Brown,Jesse Maxfield,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,104,99,203,0,199,402
RV-A,247,284,531,0,439,970
RV-B,130,133,263,0,319,582
RV-C,180,197,377,0,409,786
RV-D,237,199,436,0,488,924
RV-E,143,154,297,0,351,648
RV-F,192,214,406,0,340,746
RV-G,161,181,342,0,350,692
RV-H,72,92,164,0,184,348
RV-I,148,150,298,0,300,598
RV-J,151,174,325,0,343,668
RV-K,226,246,472,0,502,974
RV-L,105,118,223,0,231,454
RV-M,207,241,448,0,370,818
RV-N,122,139,261,0,253,514
RV-O,207,196,403,0,451,854
RV-P,239,260,499,0,445,944
