Precinct,Rhonda Finley C.,Kelley Robert Jr. L.,Denise Moore,Norman Scearce J.,Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 1-A,184,159,245,152,740,0,240,980
TR 1-B,118,100,122,114,454,0,126,580
TR 1-C,146,151,206,130,633,0,125,758
TR 1-D,107,107,113,91,418,0,122,540
TR 1-E,202,177,258,136,773,0,213,986
TR 2-A,116,122,193,125,556,0,178,734
TR 2-B,150,135,219,135,639,0,179,818
TR 2-C,108,97,148,89,442,0,134,576
TR 2-D,128,110,108,62,408,0,186,594
TR 2-E,120,129,175,131,555,0,111,666
TR 3-A,97,95,164,104,460,0,126,586
TR 3-B,113,98,133,149,493,0,259,752
TR 3-C,76,79,108,85,348,0,164,512
TR 3-D,195,172,193,105,665,0,201,866
TR 4-A,162,164,230,164,720,0,168,888
TR 4-B,125,91,135,92,443,0,159,602
TR 4-C,74,85,101,54,314,0,124,438
TR 4-D,139,126,148,89,502,0,130,632
