Precinct,McDonald Mary A.,Yvette F. Page,Total Votes Cast,Overvotes,Undervotes,Contest Total
TR 1-A,236,237,473,0,17,490
TR 1-B,121,152,273,0,17,290
TR 1-C,189,182,371,0,8,379
TR 1-D,108,159,267,0,3,270
TR 1-E,243,243,486,0,7,493
TR 2-A,176,181,357,0,10,367
TR 2-B,175,222,397,0,12,409
TR 2-C,147,137,284,0,4,288
TR 2-D,138,138,276,0,21,297
TR 2-E,139,188,327,0,6,333
TR 3-A,147,136,283,0,10,293
TR 3-B,195,144,339,0,37,376
TR 3-C,131,106,237,0,19,256
TR 3-D,181,239,420,0,13,433
TR 4-A,222,215,437,0,7,444
TR 4-B,136,154,290,0,11,301
TR 4-C,109,102,211,0,8,219
TR 4-D,173,137,310,0,6,316
