Precinct,Lisa Batten,Tyson Dillon,Chevella Griffith,Spencer Izor,Total Votes Cast,Overvotes,Undervotes,Contest Total
FARM,126,270,230,94,720,0,92,812
GERTWP-A,138,343,314,125,920,0,104,1024
GERTWP-B,219,363,340,196,1118,0,148,1266
GTN-A,213,344,307,184,1048,0,136,1184
GTN-B,139,266,244,123,772,0,116,888
GTN-C,185,404,341,150,1080,0,80,1160
GTN-D,182,264,253,168,867,0,155,1022
JAKTWP-A,93,187,177,83,540,0,78,618
JAKTWP-B,132,314,290,124,860,0,98,958
JEFTWP-C,0,0,0,0,0,0,0,0
MIATWP-J,0,0,0,0,0,0,0,0
