Precinct,Weaver Aivalotis Amber,Cindy Doogan,Corey Follick M.,Jack R. Herbst,Constance Woods R.,Total Votes Cast,Overvotes,Undervotes,Contest Total
VD-A,199,170,179,117,134,799,0,533,1332
VD-B,143,102,122,91,71,529,0,356,885
VD-C,214,259,244,168,180,1065,0,597,1662
VD-D,201,215,220,177,209,1022,0,478,1500
VD-E,180,120,194,103,141,738,0,387,1125
VD-F,245,313,271,206,224,1259,0,685,1944
VD-G,211,222,282,175,205,1095,0,420,1515
VD-H,244,246,375,232,340,1437,0,564,2001
VD-I,221,201,237,161,201,1021,0,557,1578
VD-J,229,294,317,180,285,1305,0,675,1980
VD-K,248,206,274,178,200,1106,0,661,1767
