Precinct,Kilsheimer Mary,Washburn Rodney A.,Total Votes Cast,Overvotes,Undervotes,Contest Total
BTLTWP-A,299,282,581,0,567,1148
BTLTWP-B,293,276,569,0,525,1094
BTLTWP-C,379,347,726,0,614,1340
BTLTWP-D,353,325,678,0,574,1252
BTLTWP-E,267,251,518,0,410,928
BTLTWP-F,305,292,597,0,461,1058
BTLTWP-G,184,161,345,0,299,644
DAY 3-B,24,18,42,0,88,130
HUB 1-D,0,0,0,0,0,0
UN-C,89,80,169,0,151,320
VD-A,230,194,424,0,464,888
VD-B,177,139,316,0,274,590
VD-C,284,266,550,0,558,1108
VD-D,311,278,589,0,411,1000
VD-E,209,181,390,0,360,750
VD-F,353,305,658,0,638,1296
VD-G,275,271,546,0,464,1010
VD-H,411,392,803,0,531,1334
VD-I,289,245,534,0,518,1052
VD-J,350,339,689,0,631,1320
VD-K,321,291,612,0,566,1178
