Precinct,Gary P. Smiga,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,205,205,0,159,364
CV-B,383,383,0,266,649
CV-C,251,251,0,164,415
CV-D,250,250,0,135,385
CV-E,340,340,0,258,598
CV-F,402,402,0,300,702
CV-G,416,416,0,311,727
CV-H,444,444,0,329,773
CV-I,518,518,0,283,801
CV-J,411,411,0,275,686
CV-K,404,404,0,311,715
CV-L,463,463,0,303,766
CV-M,349,349,0,297,646
CV-N,331,331,0,219,550
CV-O,490,490,0,319,809
CV-P,392,392,0,287,679
CV-Q,337,337,0,252,589
CV-R,326,326,0,259,585
WASTWP-A,333,333,0,264,597
WASTWP-B,448,448,0,295,743
WASTWP-C,403,403,0,282,685
WASTWP-D,294,294,0,214,508
WASTWP-E,448,448,0,277,725
WASTWP-F,246,246,0,192,438
WASTWP-G,445,445,0,308,753
WASTWP-H,391,391,0,243,634
WASTWP-I,264,264,0,185,449
WASTWP-J,321,321,0,253,574
WASTWP-K,360,360,0,208,568
WASTWP-L,273,273,0,226,499
WASTWP-M,420,420,0,270,690
WASTWP-N,347,347,0,221,568
WASTWP-O,329,329,0,230,559
WASTWP-P,383,383,0,271,654
WASTWP-Q,350,350,0,288,638
WASTWP-R,331,331,0,169,500
WASTWP-S,329,329,0,202,531
WASTWP-T,318,318,0,220,538
WASTWP-U,402,402,0,265,667
WASTWP-V,354,354,0,263,617
WASTWP-W,221,221,0,169,390
WASTWP-X,326,326,0,200,526
WASTWP-Y,423,423,0,270,693
WASTWP-Z,367,367,0,231,598
WASTWP-AA,386,386,0,236,622
WASTWP-BB,247,247,0,169,416
WASTWP-CC,429,429,0,332,761
