Precinct,Scott Colwell,Cordonnier David,Brian P. Lunne,Weiskittle Keith,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,63,45,53,41,202,0,162,364
CV-B,69,63,207,92,431,0,218,649
CV-C,54,57,100,52,263,0,152,415
CV-D,61,42,86,60,249,0,136,385
CV-E,72,72,196,56,396,0,202,598
CV-F,54,105,217,75,451,0,251,702
CV-G,81,103,205,60,449,0,278,727
CV-H,82,123,244,94,543,0,230,773
CV-I,110,101,246,99,556,0,245,801
CV-J,85,94,201,80,460,0,226,686
CV-K,72,88,252,67,479,0,236,715
CV-L,84,90,267,91,532,0,234,766
CV-M,80,100,164,53,397,0,249,646
CV-N,63,64,172,62,361,0,189,550
CV-O,82,61,315,121,579,0,230,809
CV-P,83,115,168,59,425,0,254,679
CV-Q,55,59,183,77,374,0,215,589
CV-R,62,75,182,77,396,0,189,585
WASTWP-A,46,64,268,80,458,0,139,597
WASTWP-B,64,50,339,94,547,0,196,743
WASTWP-C,72,97,255,115,539,0,146,685
WASTWP-D,35,59,256,65,415,0,93,508
WASTWP-E,68,63,340,90,561,0,164,725
WASTWP-F,48,42,183,51,324,0,114,438
WASTWP-G,88,77,331,82,578,0,175,753
WASTWP-H,83,67,236,73,459,0,175,634
WASTWP-I,57,52,125,74,308,0,141,449
WASTWP-J,79,75,171,74,399,0,175,574
WASTWP-K,60,48,221,114,443,0,125,568
WASTWP-L,60,77,113,65,315,0,184,499
WASTWP-M,100,64,242,103,509,0,181,690
WASTWP-N,78,59,139,97,373,0,195,568
WASTWP-O,78,57,204,82,421,0,138,559
WASTWP-P,58,54,258,94,464,0,190,654
WASTWP-Q,84,73,181,95,433,0,205,638
WASTWP-R,64,51,184,82,381,0,119,500
WASTWP-S,98,63,169,77,407,0,124,531
WASTWP-T,59,78,153,75,365,0,173,538
WASTWP-U,63,62,243,121,489,0,178,667
WASTWP-V,70,67,206,98,441,0,176,617
WASTWP-W,49,55,93,56,253,0,137,390
WASTWP-X,75,58,182,74,389,0,137,526
WASTWP-Y,112,61,248,88,509,0,184,693
WASTWP-Z,79,66,213,89,447,0,151,598
WASTWP-AA,91,60,170,107,428,0,194,622
WASTWP-BB,54,55,105,88,302,0,114,416
WASTWP-CC,77,68,369,64,578,0,183,761
